family,n,inst,p,ceiling,regret_exact_raw,regret_exact_norm,regret_samp_raw,regret_samp_norm
BA(k=4),14,6,1,0.801958,0.037478,0.048055,0.033493,0.008704
BA(k=4),14,6,3,0.901342,0.079413,0.059048,0.079413,0.02783
BA(k=4),14,7,1,0.831935,0.023091,0.041063,0.060477,0.004163
BA(k=4),14,7,3,0.917862,0.084481,0.068986,0.054988,0.038809
BA(k=4),14,8,1,0.830593,0.022144,0.026383,0.034624,0.006232
BA(k=4),14,8,3,0.908045,0.076387,0.033976,0.081183,0.029082
BA(k=4),14,9,1,0.78022,0.023877,0.039364,0.012871,0.010499
BA(k=4),14,9,3,0.869185,0.088955,0.129004,0.066407,0.017442
BA(k=4),14,10,1,0.789166,0.029044,0.048228,0.016936,0.028229
BA(k=4),14,10,3,0.888665,0.101273,0.072709,0.062757,0.028879
WS(k=4;b=0.1),12,1,1,0.833172,0.028676,0.038759,0.010089,0.016312
WS(k=4;b=0.1),12,1,3,0.907038,0.055503,0.020827,0.045379,0.020827
WS(k=4;b=0.1),12,2,1,0.827806,0.025795,0.041019,0.015885,0.001267
WS(k=4;b=0.1),12,2,3,0.904593,0.056546,0.019401,0.045617,0.009153
WS(k=4;b=0.1),12,3,1,0.832641,0.028427,0.03806,0.033712,0.010121
WS(k=4;b=0.1),12,3,3,0.924028,0.069955,0.025681,0.09793,0.006401
WS(k=4;b=0.1),12,4,1,0.877542,0.027782,0.020136,0.003718,0.004608
WS(k=4;b=0.1),12,4,3,0.956469,0.059451,0.01672,0.049773,0.01672
WS(k=4;b=0.1),12,5,1,0.786067,0.025693,0.022752,0.0206,0.016229
WS(k=4;b=0.1),12,5,3,0.865869,0.061368,0.020049,0.064887,0.017132
WS(k=4;b=0.1),12,6,1,0.825346,0.024581,0.020367,0.041283,0.014217
WS(k=4;b=0.1),12,6,3,0.893033,0.050389,0.005074,0.080259,0.017707
WS(k=4;b=0.1),12,7,1,0.873247,0.025817,0.020249,0.016089,0.009056
WS(k=4;b=0.1),12,7,3,0.945042,0.053069,0.008588,0.056823,0.003549
WS(k=4;b=0.1),12,8,1,0.83655,0.030178,0.038245,0.018214,0.023099
WS(k=4;b=0.1),12,8,3,0.923861,0.066668,0.017912,0.048874,0.00847
WS(k=4;b=0.1),12,9,1,0.789259,0.02702,0.023068,0.014175,0.024107
WS(k=4;b=0.1),12,9,3,0.871514,0.063908,0.018319,0.053856,0.018668
WS(k=4;b=0.1),12,10,1,0.873604,0.025987,0.028184,0.00683,0.028184
WS(k=4;b=0.1),12,10,3,0.943366,0.050788,0.013915,0.034772,0.016785
WS(k=4;b=0.1),14,1,1,0.838571,0.031451,0.060517,0.037323,0.026488
WS(k=4;b=0.1),14,1,3,0.926998,0.089567,0.04076,0.069716,0.024268
WS(k=4;b=0.1),14,2,1,0.800063,0.035095,0.036037,0.024556,0.008829
WS(k=4;b=0.1),14,2,3,0.898132,0.098635,0.030163,0.079829,0.042924
WS(k=4;b=0.1),14,3,1,0.86946,0.032196,0.027458,0.032196,0.008387
WS(k=4;b=0.1),14,3,3,0.935156,0.067121,0.003244,0.055836,0.002031
WS(k=4;b=0.1),14,4,1,0.793848,0.031295,0.024624,0.03873,0.011494
WS(k=4;b=0.1),14,4,3,0.88745,0.094078,0.023256,0.086942,0.043833
WS(k=4;b=0.1),14,5,1,0.835038,0.029542,0.046115,0.029542,0.022731
WS(k=4;b=0.1),14,5,3,0.918739,0.084977,0.022293,0.084977,0.011607
WS(k=4;b=0.1),14,6,1,0.831998,0.027958,0.024795,0.017541,0.011488
WS(k=4;b=0.1),14,6,3,0.90423,0.07403,0.010797,0.04307,0.005425
WS(k=4;b=0.1),14,7,1,0.828281,0.030759,0.026478,0.025985,0.004413
