family,n,instance,seed,m,law,method,p,ar,ceil,regret
ER(0.5),16,4,20262324,63,logn2.5,binned_sampled,10,0.8043141123119888,0.8214254936566712,0.017111381344682375
ER(0.5),16,4,20262324,63,logn2.5,transfer_1,10,0.5947065811807511,0.8214254936566712,0.22671891247592002
ER(0.5),16,4,20262324,63,logn2.5,transfer_2,10,0.7001834347863424,0.8214254936566712,0.1212420588703288
ER(0.5),16,4,20262324,63,logn2.5,transfer_3,10,0.659655194963595,0.8214254936566712,0.16177029869307613
ER(0.5),16,4,20262324,63,logn2.5,universal,10,0.6861241863017046,0.8214254936566712,0.1353013073549666
ER(0.5),16,4,20262324,63,logn2.5,ceiling,20,0.8322687259205551,0.8322687259205551,0.0
ER(0.5),16,4,20262324,63,logn2.5,binned_exact,20,0.8039194185096211,0.8322687259205551,0.028349307410934
ER(0.5),16,4,20262324,63,logn2.5,binned_sampled,20,0.8039194185096211,0.8322687259205551,0.028349307410934
ER(0.5),16,4,20262324,63,logn2.5,transfer_1,20,0.636311014047108,0.8322687259205551,0.19595771187344713
ER(0.5),16,4,20262324,63,logn2.5,transfer_2,20,0.7289250224477203,0.8322687259205551,0.10334370347283484
ER(0.5),16,4,20262324,63,logn2.5,transfer_3,20,0.7193404946446578,0.8322687259205551,0.11292823127589735
ER(0.5),16,4,20262324,63,logn2.5,universal,20,0.6760009353457832,0.8322687259205551,0.15626779057477191
ER(0.5),16,5,20262325,60,logn2.5,ceiling,10,0.9430951333609672,0.9430951333609672,0.0
ER(0.5),16,5,20262325,60,logn2.5,binned_exact,10,0.7728784319746396,0.9430951333609672,0.1702167013863276
ER(0.5),16,5,20262325,60,logn2.5,binned_sampled,10,0.7728784319746396,0.9430951333609672,0.1702167013863276
ER(0.5),16,5,20262325,60,logn2.5,transfer_1,10,0.6102658337733233,0.9430951333609672,0.33282929958764385
ER(0.5),16,5,20262325,60,logn2.5,transfer_2,10,0.9317193727959814,0.9430951333609672,0.011375760564985793
ER(0.5),16,5,20262325,60,logn2.5,transfer_3,10,0.8384962843989847,0.9430951333609672,0.10459884896198246
ER(0.5),16,5,20262325,60,logn2.5,universal,10,0.9430951333609672,0.9430951333609672,0.0
ER(0.5),16,5,20262325,60,logn2.5,ceiling,20,0.9596580550449685,0.9596580550449685,0.0
ER(0.5),16,5,20262325,60,logn2.5,binned_exact,20,0.7675154336472594,0.9596580550449685,0.1921426213977091
ER(0.5),16,5,20262325,60,logn2.5,binned_sampled,20,0.8232678674392984,0.9596580550449685,0.13639018760567012
ER(0.5),16,5,20262325,60,logn2.5,transfer_1,20,0.57149970374321,0.9596580550449685,0.38815835130175846
ER(0.5),16,5,20262325,60,logn2.5,transfer_2,20,0.9546197282281492,0.9596580550449685,0.005038326816819261
ER(0.5),16,5,20262325,60,logn2.5,transfer_3,20,0.6803303648448665,0.9596580550449685,0.27932769020010195
ER(0.5),16,5,20262325,60,logn2.5,universal,20,0.9596580550449685,0.9596580550449685,0.0
ER(0.5),16,6,20262326,59,logn2.5,ceiling,10,0.917258741390959,0.917258741390959,0.0
