instance,m,method,ar,regret
8,59,transfer_coststd_3,0.7732856394424384,0.026092072250722187
9,66,binned_sampled,0.8091067161742225,0.0009364467033887713
9,66,transfer_mean_1,0.6295661877206109,0.18047697515700034
9,66,transfer_mean_2,0.5069409183575757,0.30310224452003554
9,66,transfer_mean_3,0.50553669744658,0.3045064654310312
9,66,transfer_median_1,0.709704837194279,0.0
9,66,transfer_median_2,0.45828879296824904,0.25141604422603
9,66,transfer_median_3,0.709704837194279,0.0
9,66,transfer_coststd_1,0.7439502359604269,0.07759684412855428
9,66,transfer_coststd_2,0.8204250282856512,0.0011220518033299154
9,66,transfer_coststd_3,0.8203199907344316,0.0012270893545495154
10,54,binned_sampled,0.8307353952672866,0.0
10,54,transfer_mean_1,0.7629845272790303,0.06775086798825625
10,54,transfer_mean_2,0.6243887912192382,0.2063466040480484
10,54,transfer_mean_3,0.6233991248672724,0.20733627040001412
10,54,transfer_median_1,0.590360825028207,0.13554901929988716
10,54,transfer_median_2,0.5948447535843175,0.1310650907437766
10,54,transfer_median_3,0.590360825028207,0.13554901929988716
10,54,transfer_coststd_1,0.7575795227796707,0.07275888345093173
10,54,transfer_coststd_2,0.8294562442858215,0.0008821619447808571
10,54,transfer_coststd_3,0.8297887959227586,0.0005496103078438397
