family,n,inst,m,p,regret,e_star,e_hat,delta_e,margin,cancel_factor
WS(k=4;b=0.5),14,3,28,3,0.034633,-0.017436,-0.076591,0.059155,0.024523,0.629135
WS(k=4;b=0.5),14,4,28,1,0.054255,-0.028072,-0.114087,0.086015,0.031761,0.605064
WS(k=4;b=0.5),14,4,28,3,0.115845,-0.021341,-0.194754,0.173413,0.057569,0.802489
WS(k=4;b=0.5),14,5,28,1,0.056257,-0.025029,-0.113101,0.088072,0.031815,0.6376
WS(k=4;b=0.5),14,5,28,3,0.024241,-0.028513,-0.068672,0.040159,0.015917,0.41322
WS(k=4;b=0.5),14,6,28,1,0.075425,-0.031815,-0.151916,0.120101,0.044676,0.653681
WS(k=4;b=0.5),14,6,28,3,0.051035,-0.017216,-0.115514,0.098298,0.047263,0.74059
WS(k=4;b=0.5),14,7,28,1,0.05471,-0.034112,-0.126848,0.092736,0.038026,0.576141
WS(k=4;b=0.5),14,7,28,3,0.055682,-0.008432,-0.109336,0.100904,0.045222,0.856797
WS(k=4;b=0.5),14,8,28,1,0.070128,-0.029241,-0.13775,0.108509,0.038382,0.649793
WS(k=4;b=0.5),14,8,28,3,0.032092,-0.029518,-0.081145,0.051626,0.019535,0.466518
WS(k=4;b=0.5),14,9,28,1,0.070085,-0.031075,-0.151466,0.120391,0.050306,0.659529
WS(k=4;b=0.5),14,9,28,3,0.035635,-0.026459,-0.094624,0.068165,0.03253,0.562966
WS(k=4;b=0.5),14,10,28,1,0.084737,-0.031328,-0.168037,0.136709,0.051973,0.685722
WS(k=4;b=0.5),14,10,28,3,0.069215,-0.028744,-0.143458,0.114714,0.045499,0.66616
3-regular,12,1,18,1,0.053292,-0.044478,-0.139387,0.094909,0.041617,0.51619
3-regular,12,1,18,3,0.035531,-0.018325,-0.083701,0.065376,0.029845,0.640782
3-regular,12,2,18,1,0.034168,-0.027134,-0.079522,0.052387,0.01822,0.491182
3-regular,12,2,18,3,0.048647,0.008683,-0.103332,0.112015,0.063367,1.0
3-regular,12,3,18,1,0.058119,-0.035162,-0.135841,0.10068,0.042561,0.58876
3-regular,12,3,18,3,0.094636,-0.013178,-0.175275,0.162098,0.067461,0.860151
3-regular,12,4,18,1,0.046015,-0.035633,-0.112372,0.076739,0.030724,0.518493
3-regular,12,4,18,3,0.036473,-0.02351,-0.079477,0.055967,0.019494,0.543432
3-regular,12,5,18,1,0.051339,-0.029276,-0.11171,0.082433,0.031094,0.584693
3-regular,12,5,18,3,0.021592,-0.018325,-0.066559,0.048234,0.026641,0.568232
3-regular,12,6,18,1,0.046015,-0.032579,-0.106032,0.073453,0.027438,0.52992
3-regular,12,6,18,3,0.033493,-0.026238,-0.084515,0.058278,0.024784,0.526196
3-regular,12,7,18,1,0.051339,-0.02725,-0.10669,0.07944,0.028101,0.593102
3-regular,12,7,18,3,0.035141,-0.020114,-0.086111,0.065998,0.030857,0.621304
3-regular,12,8,18,1,0.051339,-0.02725,-0.10669,0.07944,0.028101,0.593102
3-regular,12,8,18,3,0.035141,-0.020114,-0.086111,0.065998,0.030857,0.621304
3-regular,12,9,18,1,0.027433,-0.024675,-0.06913,0.044456,0.017023,0.473916
3-regular,12,9,18,3,0.050783,0.004646,-0.11319,0.117835,0.067052,1.0
3-regular,12,10,18,1,0.040642,-0.021951,-0.081562,0.059611,0.018969,0.575874
3-regular,12,10,18,3,0.049978,-0.01476,-0.11718,0.10242,0.052442,0.776267
3-regular,14,1,21,1,0.045848,-0.03227,-0.104739,0.072469,0.026621,0.528932
3-regular,14,1,21,3,0.045612,-0.015611,-0.099155,0.083544,0.037932,0.727951
3-regular,14,2,21,1,0.066741,-0.035179,-0.153437,0.118258,0.051517,0.62698
3-regular,14,2,21,3,0.058222,-0.028175,-0.12473,0.096555,0.038333,0.631467
3-regular,14,3,21,1,0.04761,-0.033553,-0.108014,0.07446,0.02685,0.525971
3-regular,14,3,21,3,0.050646,-0.002589,-0.118306,0.115717,0.065071,0.957174
3-regular,14,4,21,1,0.043301,-0.031774,-0.107494,0.07572,0.032419,0.543696
3-regular,14,4,21,3,0.064632,-0.01515,-0.140265,0.125115,0.060483,0.80504
3-regular,14,5,21,1,0.061086,-0.035039,-0.123485,0.088446,0.02736,0.557932
3-regular,14,5,21,3,0.055819,-0.025818,-0.127252,0.101433,0.045614,0.662658
3-regular,14,6,21,1,0.024701,-0.022273,-0.066575,0.044302,0.019601,0.498627
3-regular,14,6,21,3,0.039745,-0.026791,-0.090531,0.06374,0.023995,0.543289
3-regular,14,7,21,1,0.066741,-0.03238,-0.141455,0.109075,0.042334,0.627462
3-regular,14,7,21,3,0.080212,-0.009841,-0.155279,0.145439,0.065226,0.880806
3-regular,14,8,21,1,0.075458,-0.034719,-0.147257,0.112538,0.037079,0.618421
3-regular,14,8,21,3,0.070878,-0.009456,-0.12785,0.118394,0.047516,0.862262
3-regular,14,9,21,1,0.059348,-0.032593,-0.135252,0.102659,0.043311,0.61163
3-regular,14,9,21,3,0.055526,-0.018452,-0.107317,0.088865,0.033338,0.706572
3-regular,14,10,21,1,0.032736,-0.02558,-0.083652,0.058073,0.025336,0.531646
3-regular,14,10,21,3,0.068493,0.003183,-0.130746,0.133929,0.065436,1.0
