family,n,instance,seed,source_rep,p,ar_transfer,ar_ceiling,regret_transfer
ER(0.5),12,5,20271816,1,3,0.9247107944053348,0.9313422058849091,0.006631411479574356
ER(0.5),12,5,20271816,2,1,0.8563283187367793,0.8671247452810639,0.010796426544284587
ER(0.5),12,5,20271816,2,3,0.8872158221837222,0.9313422058849091,0.04412638370118693
ER(0.5),12,5,20271816,3,1,0.8628679446258501,0.8671247452810639,0.004256800655213722
ER(0.5),12,5,20271816,3,3,0.9281551030136008,0.9313422058849091,0.0031871028713083005
ER(0.5),12,6,20271817,1,1,0.8168844503502887,0.8174717361236622,0.0005872857733735248
ER(0.5),12,6,20271817,1,3,0.9075114522323086,0.912566152383117,0.005054700150808444
ER(0.5),12,6,20271817,2,1,0.8153909506844194,0.8174717361236622,0.002080785439242838
ER(0.5),12,6,20271817,2,3,0.8991751237763573,0.912566152383117,0.01339102860675967
ER(0.5),12,6,20271817,3,1,0.8168844503502887,0.8174717361236622,0.0005872857733735248
ER(0.5),12,6,20271817,3,3,0.9039013814267671,0.912566152383117,0.008664770956349876
ER(0.5),12,7,20271818,1,1,0.7836131894764244,0.7847435940265335,0.0011304045501090432
ER(0.5),12,7,20271818,1,3,0.873130142921925,0.8772262950414403,0.004096152119515306
ER(0.5),12,7,20271818,2,1,0.7847435940265335,0.7847435940265335,0.0
ER(0.5),12,7,20271818,2,3,0.8762081097605611,0.8772262950414403,0.001018185280879269
ER(0.5),12,7,20271818,3,1,0.7836131894764244,0.7847435940265335,0.0011304045501090432
ER(0.5),12,7,20271818,3,3,0.8686687083291409,0.8772262950414403,0.008557586712299448
ER(0.5),12,8,20271819,1,1,0.8145790700341277,0.8184342735726784,0.0038552035385507333
ER(0.5),12,8,20271819,1,3,0.8924436785205945,0.8972310340786219,0.004787355558027451
ER(0.5),12,8,20271819,2,1,0.8172172518172924,0.8184342735726784,0.0012170217553859608
ER(0.5),12,8,20271819,2,3,0.8685358039996608,0.8972310340786219,0.02869523007896113
ER(0.5),12,8,20271819,3,1,0.8145790700341277,0.8184342735726784,0.0038552035385507333
ER(0.5),12,8,20271819,3,3,0.8972310340786219,0.8972310340786219,0.0
ER(0.5),12,9,20271820,1,1,0.7948684906037855,0.823532073741406,0.02866358313762052
ER(0.5),12,9,20271820,1,3,0.9174257044394194,0.922810663097481,0.005384958658061656
ER(0.5),12,9,20271820,2,1,0.8038184300988688,0.823532073741406,0.01971364364253725
ER(0.5),12,9,20271820,2,3,0.905120189132777,0.922810663097481,0.017690473964704023
ER(0.5),12,9,20271820,3,1,0.7948684906037855,0.823532073741406,0.02866358313762052
ER(0.5),12,9,20271820,3,3,0.9183917120660228,0.922810663097481,0.004418951031458285
ER(0.5),12,10,20271821,1,1,0.8650615660659973,0.8670515840008822,0.001990017934884958
ER(0.5),12,10,20271821,1,3,0.932154165913713,0.9371304822012282,0.004976316287515159
ER(0.5),12,10,20271821,2,1,0.8605869546234481,0.8670515840008822,0.0064646293774340835
ER(0.5),12,10,20271821,2,3,0.9001390198526172,0.9371304822012282,0.03699146234861095
ER(0.5),12,10,20271821,3,1,0.8650615660659973,0.8670515840008822,0.001990017934884958
ER(0.5),12,10,20271821,3,3,0.9355640022268713,0.9371304822012282,0.0015664799743568825
ER(0.5),12,11,20271822,1,1,0.7619334411882458,0.7659195615998123,0.0039861204115665405
ER(0.5),12,11,20271822,1,3,0.861108624512184,0.8675138190995717,0.0064051945873877525
ER(0.5),12,11,20271822,2,1,0.7652123282079614,0.7659195615998123,0.0007072333918509699
ER(0.5),12,11,20271822,2,3,0.8675138190995717,0.8675138190995717,0.0
ER(0.5),12,11,20271822,3,1,0.7619334411882458,0.7659195615998123,0.0039861204115665405
ER(0.5),12,11,20271822,3,3,0.85614338995931,0.8675138190995717,0.01137042914026165
ER(0.5),12,12,20271823,1,1,0.7958481551255189,0.7970735260153092,0.001225370889790356
ER(0.5),12,12,20271823,1,3,0.9009548326106974,0.9104397973273154,0.009484964716617972
ER(0.5),12,12,20271823,2,1,0.7970735260153092,0.7970735260153092,0.0
ER(0.5),12,12,20271823,2,3,0.903964556801966,0.9104397973273154,0.006475240525349424
ER(0.5),12,12,20271823,3,1,0.7958481551255189,0.7970735260153092,0.001225370889790356
ER(0.5),12,12,20271823,3,3,0.893668776806866,0.9104397973273154,0.01677102052044943
ER(0.5),12,13,20271824,1,1,0.8315656616840758,0.831708180219495,0.00014251853541924486
ER(0.5),12,13,20271824,1,3,0.9139680140800758,0.9160809489136265,0.0021129348335506837
ER(0.5),12,13,20271824,2,1,0.8309439150281432,0.831708180219495,0.000764265191351754
ER(0.5),12,13,20271824,2,3,0.9005131692538948,0.9160809489136265,0.015567779659731662
ER(0.5),12,13,20271824,3,1,0.8315656616840758,0.831708180219495,0.00014251853541924486
ER(0.5),12,13,20271824,3,3,0.9112183814258935,0.9160809489136265,0.0048625674877329494
ER(0.5),12,14,20271825,1,1,0.7872865330764613,0.8026514266511103,0.015364893574648986
ER(0.5),12,14,20271825,1,3,0.9115075514722343,0.9229712068478261,0.011463655375591797
ER(0.5),12,14,20271825,2,1,0.794139268340974,0.8026514266511103,0.008512158310136297
ER(0.5),12,14,20271825,2,3,0.9170858164609885,0.9229712068478261,0.005885390386837552
ER(0.5),12,14,20271825,3,1,0.7872865330764613,0.8026514266511103,0.015364893574648986
ER(0.5),12,14,20271825,3,3,0.9063016774464069,0.9229712068478261,0.016669529401419192
ER(0.5),12,15,20271826,1,1,0.7963952149165868,0.7963952149165868,0.0
ER(0.5),12,15,20271826,1,3,0.8850366605625433,0.887842168791486,0.0028055082289427657
ER(0.5),12,15,20271826,2,1,0.7957933054735469,0.7963952149165868,0.0006019094430399496
ER(0.5),12,15,20271826,2,3,0.8842312350725393,0.887842168791486,0.0036109337189467183
ER(0.5),12,15,20271826,3,1,0.7963952149165868,0.7963952149165868,0.0
