family,n,inst,m,p,regret,bound_paper,margin,bound_sharp,bound_unif,ratio_paper,ratio_sharp,e_star,e_hat,onesided_sign_ok,onesided_bound,onesided_holds,err_cos
BA(k=2),14,4,24,3,0.017331,0.288708,0.019342,0.269366,0.686512,16.66,15.54,-0.023993,-0.060667,1,0.16919,1,0.7684
BA(k=2),14,5,24,1,0.087279,0.697208,0.057918,0.63929,1.235262,7.99,7.32,-0.035276,-0.180473,1,0.504908,1,0.4849
BA(k=2),14,5,24,3,0.03731,0.440391,0.040161,0.40023,0.8912,11.8,10.73,-0.017392,-0.094863,1,0.279134,1,-0.5659
BA(k=4),12,1,32,1,0.019228,0.345652,0.018041,0.327611,0.827116,17.98,17.04,-0.01951,-0.05678,1,0.226368,1,-0.8359
BA(k=4),12,1,32,3,0.13334,0.863527,0.019067,0.844461,1.375961,6.48,6.33,-0.015382,-0.167789,1,0.633344,1,0.0322
BA(k=4),12,2,32,1,0.025845,0.395742,0.015307,0.380435,0.941036,15.31,14.72,-0.016274,-0.057425,1,0.285951,1,-0.4964
BA(k=4),12,2,32,3,0.061872,0.689879,0.044156,0.645723,1.24314,11.15,10.44,-0.036075,-0.142103,1,0.434903,1,0.5212
BA(k=4),12,3,32,1,0.025119,0.349695,0.020565,0.329131,0.904508,13.92,13.1,-0.015571,-0.061255,1,0.246224,1,-0.5009
BA(k=4),12,3,32,3,0.039282,0.476182,0.037218,0.438963,1.078828,12.12,11.17,-0.017319,-0.093819,1,0.318607,1,-0.1699
BA(k=4),12,4,32,1,0.033209,0.455523,0.02141,0.434113,0.997683,13.72,13.07,-0.022996,-0.077616,1,0.318741,1,-0.4696
BA(k=4),12,4,32,3,0.054869,0.506586,0.028844,0.477742,1.052042,9.23,8.71,-0.030091,-0.113804,1,0.331337,1,0.7702
BA(k=4),12,5,32,1,0.020233,0.37557,0.02006,0.35551,0.85088,18.56,17.57,-0.021011,-0.061303,1,0.246577,1,-0.8298
BA(k=4),12,5,32,3,0.052855,0.615508,0.037166,0.578342,1.224337,11.65,10.94,-0.021036,-0.111057,1,0.384809,1,-0.7933
BA(k=4),14,1,40,1,0.035996,0.445663,0.023362,0.422301,0.98777,12.38,11.73,-0.027064,-0.086423,1,0.310257,1,0.2578
BA(k=4),14,1,40,3,0.032104,0.391745,0.033118,0.358627,0.992033,12.2,11.17,-0.014211,-0.079434,1,0.263565,1,-0.4126
BA(k=4),14,2,40,1,0.033789,0.44649,0.023581,0.422909,0.917985,13.21,12.52,-0.027893,-0.085264,1,0.307965,1,0.2728
BA(k=4),14,2,40,3,0.034011,0.400781,0.030264,0.370517,0.91905,11.78,10.89,-0.015229,-0.079504,1,0.278201,1,-0.3826
BA(k=4),14,3,40,1,0.052235,0.520775,0.032109,0.488666,1.039878,9.97,9.36,-0.020883,-0.105227,1,0.394849,1,-0.1106
BA(k=4),14,3,40,3,0.075173,0.583068,0.048354,0.534713,1.140809,7.76,7.11,-0.014925,-0.138452,1,0.437018,1,0.2798
BA(k=4),14,4,40,1,0.059042,0.564314,0.032811,0.531503,1.138792,9.56,9.0,-0.027436,-0.119288,1,0.41691,1,-0.0344
BA(k=4),14,4,40,3,0.030874,0.347259,0.033902,0.313357,0.896886,11.25,10.15,-0.017636,-0.082412,1,0.2241,1,0.6278
BA(k=4),14,5,40,1,0.055169,0.528336,0.026487,0.501849,1.050131,9.58,9.1,-0.027278,-0.108934,1,0.39352,1,0.3518
BA(k=4),14,5,40,3,0.05341,0.466785,0.042598,0.424187,1.003576,8.74,7.94,-0.013966,-0.109974,1,0.333913,1,0.4169
WS(k=4;b=0.1),12,1,24,1,0.038759,0.353508,0.01804,0.335468,0.848907,9.12,8.66,-0.020818,-0.077617,1,0.252558,1,-0.8101
WS(k=4;b=0.1),12,1,24,3,0.020827,0.278272,0.014645,0.263627,0.644367,13.36,12.66,-0.015074,-0.050546,1,0.172307,1,-0.44
WS(k=4;b=0.1),12,2,24,1,0.041019,0.376428,0.017848,0.35858,0.900746,9.18,8.74,-0.022511,-0.081378,1,0.268113,1,-0.8104
WS(k=4;b=0.1),12,2,24,3,0.019401,0.259568,0.015824,0.243744,0.626371,13.38,12.56,-0.015047,-0.050272,1,0.157787,1,-0.4306
WS(k=4;b=0.1),12,3,24,1,0.03806,0.409097,0.022806,0.386291,0.925556,10.75,10.15,-0.022071,-0.082937,1,0.287065,1,-0.8138
WS(k=4;b=0.1),12,3,24,3,0.025681,0.339812,0.022133,0.317679,0.752856,13.23,12.37,-0.01997,-0.067784,1,0.214666,1,0.5032
WS(k=4;b=0.1),12,4,24,1,0.020136,0.29274,0.012927,0.279814,0.707172,14.54,13.9,-0.020702,-0.053764,1,0.18984,1,-0.3673
WS(k=4;b=0.1),12,4,24,3,0.01672,0.228083,0.012406,0.215677,0.625786,13.64,12.9,-0.012996,-0.042123,1,0.132689,1,-0.1221
WS(k=4;b=0.1),12,5,24,1,0.022752,0.306469,0.016452,0.290017,0.746053,13.47,12.75,-0.01935,-0.058555,1,0.203674,1,-0.682
WS(k=4;b=0.1),12,5,24,3,0.020049,0.30648,0.016193,0.290287,0.692983,15.29,14.48,-0.015374,-0.051617,1,0.185994,1,-0.4473
WS(k=4;b=0.1),14,1,28,1,0.060517,0.512309,0.040014,0.472295,1.094747,8.47,7.8,-0.024879,-0.12541,1,0.372675,1,0.1889
WS(k=4;b=0.1),14,1,28,3,0.04076,0.36098,0.018591,0.342389,0.741676,8.86,8.4,-0.025439,-0.08479,1,0.24492,1,-0.4466
WS(k=4;b=0.1),14,2,28,1,0.036037,0.41726,0.023414,0.393846,0.87216,11.58,10.93,-0.02176,-0.08121,1,0.290119,1,-0.6638
WS(k=4;b=0.1),14,2,28,3,0.030163,0.48657,0.037717,0.448854,0.886226,16.13,14.88,-0.012233,-0.080113,1,0.273075,1,0.0656
WS(k=4;b=0.1),14,3,28,1,0.027458,0.302606,0.016166,0.28644,0.795883,11.02,10.43,-0.022443,-0.066067,1,0.203857,1,-0.843
WS(k=4;b=0.1),14,3,28,3,0.003244,0.148295,0.011634,0.136661,0.48318,45.71,42.13,-0.008092,-0.02297,1,0.077523,1,0.8069
WS(k=4;b=0.1),14,4,28,1,0.024624,0.323529,0.013759,0.30977,0.745452,13.14,12.58,-0.019154,-0.057537,1,0.217412,1,-0.8516
WS(k=4;b=0.1),14,4,28,3,0.023256,0.460501,0.021705,0.438796,0.835272,19.8,18.87,-0.017306,-0.062267,1,0.262176,1,-0.6461
WS(k=4;b=0.1),14,5,28,1,0.046115,0.430172,0.02745,0.402723,0.990922,9.33,8.73,-0.023021,-0.096586,1,0.308053,1,-0.3394
WS(k=4;b=0.1),14,5,28,3,0.022293,0.293494,0.01819,0.275304,0.674083,13.17,12.35,-0.021338,-0.061821,1,0.17849,1,-0.6792
WS(k=4;b=0.5),12,1,24,1,0.079965,0.570644,0.039921,0.530723,1.143018,7.14,6.64,-0.030317,-0.150203,1,0.422465,1,0.0005
WS(k=4;b=0.5),12,1,24,3,0.040321,0.334616,0.016782,0.317834,0.737334,8.3,7.88,-0.023129,-0.080232,1,0.228333,1,-0.7765
WS(k=4;b=0.5),12,2,24,1,0.035157,0.370852,0.02439,0.346462,0.877051,10.55,9.85,-0.02223,-0.081778,1,0.2568,1,-0.8084
WS(k=4;b=0.5),12,2,24,3,0.020849,0.270648,0.015097,0.255551,0.619674,12.98,12.26,-0.017057,-0.053003,1,0.165481,1,-0.4272
WS(k=4;b=0.5),12,3,24,1,0.063349,0.577095,0.039505,0.53759,1.155562,9.11,8.49,-0.029453,-0.132307,1,0.410007,1,-0.2766
WS(k=4;b=0.5),12,3,24,3,0.078579,0.716437,0.051705,0.664733,1.237385,9.12,8.46,-0.033658,-0.163942,1,0.476255,1,-0.5782
WS(k=4;b=0.5),12,4,24,1,0.056736,0.481277,0.028846,0.452431,1.064846,8.48,7.97,-0.023382,-0.108964,1,0.357094,1,-0.3374
WS(k=4;b=0.5),12,4,24,3,0.038183,0.427885,0.025394,0.402492,0.853627,11.21,10.54,-0.022894,-0.086471,1,0.288478,1,-0.6044
WS(k=4;b=0.5),12,5,24,1,0.059059,0.572088,0.036122,0.535966,1.128675,9.69,9.08,-0.030705,-0.125886,1,0.401712,1,-0.4173
WS(k=4;b=0.5),12,5,24,3,0.076903,0.633146,0.046843,0.586304,1.164666,8.23,7.62,-0.02469,-0.148436,1,0.418378,1,-0.0598
WS(k=4;b=0.5),14,1,28,1,0.039122,0.400386,0.027765,0.37262,0.933921,10.23,9.52,-0.024225,-0.091112,1,0.27533,1,-0.6676
WS(k=4;b=0.5),14,1,28,3,0.02698,0.353962,0.018928,0.335033,0.730901,13.12,12.42,-0.023624,-0.069532,1,0.228701,1,0.3722
WS(k=4;b=0.5),14,2,28,1,0.057713,0.542996,0.040823,0.502173,1.06305,9.41,8.7,-0.031694,-0.130229,1,0.37461,1,0.1038
WS(k=4;b=0.5),14,2,28,3,0.086297,0.648218,0.062547,0.585671,1.192718,7.51,6.79,-0.013196,-0.162041,1,0.462836,1,-0.342
WS(k=4;b=0.5),14,3,28,1,0.044429,0.418863,0.027866,0.390997,0.951312,9.43,8.8,-0.023287,-0.095582,1,0.298519,1,-0.3484
WS(k=4;b=0.5),14,3,28,3,0.034633,0.354842,0.024523,0.330319,0.753796,10.25,9.54,-0.017436,-0.076591,1,0.232648,1,-0.4625
WS(k=4;b=0.5),14,4,28,1,0.054255,0.545192,0.031761,0.513432,1.04182,10.05,9.46,-0.028072,-0.114087,1,0.387829,1,0.1083
WS(k=4;b=0.5),14,4,28,3,0.115845,0.81193,0.057569,0.754361,1.302872,7.01,6.51,-0.021341,-0.194754,1,0.571942,1,-0.0901
WS(k=4;b=0.5),14,5,28,1,0.056257,0.485658,0.031815,0.453843,1.01022,8.63,8.07,-0.025029,-0.113101,1,0.352421,1,-0.1525
WS(k=4;b=0.5),14,5,28,3,0.024241,0.328681,0.015917,0.312764,0.713142,13.56,12.9,-0.028513,-0.068672,1,0.204021,1,0.7741
3-regular,12,1,18,1,0.053292,0.622501,0.041617,0.580883,1.271424,11.68,10.9,-0.044478,-0.139387,1,0.402769,1,-0.7814
3-regular,12,1,18,3,0.035531,0.406557,0.029845,0.376712,0.881815,11.44,10.6,-0.018325,-0.083701,1,0.24351,1,0.0473
3-regular,12,2,18,1,0.034168,0.400374,0.01822,0.382154,0.789441,11.72,11.18,-0.027134,-0.079522,1,0.265907,1,-0.429
