family,n,instance,seed,m,law,start,stage,ar,ar_vstar,regret_vstar
ER(0.5),16,2,20262322,65,pareto15,best_transfer,full2p,0.9834406283351045,0.9834406283351061,1.6672338406235135e-15
ER(0.5),16,2,20262322,65,pareto15,grid_ceiling,ramp4,0.9775108900350553,0.9834406283351061,0.005929738300050833
ER(0.5),16,2,20262322,65,pareto15,best_transfer,ramp4,0.9775108900350546,0.9834406283351061,0.0059297383000515
ER(0.5),16,2,20262322,65,pareto15,grid_ceiling,full2p,0.9834406283351045,0.9834406283351061,1.6672338406235135e-15
ER(0.5),16,2,20262322,65,pareto15,binned_sampled,grid,0.7944072865072732,0.9834406283351061,0.18903334182783293
ER(0.5),16,2,20262322,65,pareto15,universal,grid,0.7981136390435158,0.9834406283351061,0.18532698929159033
ER(0.5),16,2,20262322,65,pareto15,binned_sampled,ramp4,0.977510890035049,0.9834406283351061,0.005929738300057168
ER(0.5),16,3,20262323,70,pareto15,grid_ceiling,grid,0.9676158298227261,0.9802748453902186,0.012659015567492486
ER(0.5),16,3,20262323,70,pareto15,universal,ramp4,0.976195473627239,0.9802748453902186,0.004079371762979516
ER(0.5),16,3,20262323,70,pareto15,best_transfer,grid,0.8369298087383498,0.9802748453902186,0.14334503665186876
ER(0.5),16,3,20262323,70,pareto15,binned_sampled,full2p,0.9802748453902186,0.9802748453902186,0.0
ER(0.5),16,3,20262323,70,pareto15,universal,full2p,0.9802748453902183,0.9802748453902186,3.663572839777305e-16
ER(0.5),16,3,20262323,70,pareto15,best_transfer,full2p,0.9802748453902183,0.9802748453902186,3.663572839777305e-16
ER(0.5),16,3,20262323,70,pareto15,grid_ceiling,ramp4,0.976195473627239,0.9802748453902186,0.004079371762979516
ER(0.5),16,3,20262323,70,pareto15,best_transfer,ramp4,0.976195473627239,0.9802748453902186,0.004079371762979516
ER(0.5),16,3,20262323,70,pareto15,grid_ceiling,full2p,0.9802748453902183,0.9802748453902186,3.663572839777305e-16
ER(0.5),16,3,20262323,70,pareto15,binned_sampled,grid,0.8032701639925955,0.9802748453902186,0.17700468139762301
ER(0.5),16,3,20262323,70,pareto15,universal,grid,0.8369298087383498,0.9802748453902186,0.14334503665186876
ER(0.5),16,3,20262323,70,pareto15,binned_sampled,ramp4,0.976195473627239,0.9802748453902186,0.004079371762979516
ER(0.5),16,4,20262324,63,pareto15,grid_ceiling,grid,0.9753075922935736,0.9893134699700817,0.014005877676508202
ER(0.5),16,4,20262324,63,pareto15,universal,ramp4,0.9767295354492317,0.9893134699700817,0.012583934520850059
ER(0.5),16,4,20262324,63,pareto15,best_transfer,grid,0.9359896322919,0.9893134699700817,0.05332383767818169
ER(0.5),16,4,20262324,63,pareto15,binned_sampled,full2p,0.9893134699700817,0.9893134699700817,0.0
ER(0.5),16,4,20262324,63,pareto15,universal,full2p,0.9893134699700816,0.9893134699700817,1.4651051660751131e-16
ER(0.5),16,4,20262324,63,pareto15,best_transfer,full2p,0.9893134699700816,0.9893134699700817,1.4651051660751131e-16
ER(0.5),16,4,20262324,63,pareto15,grid_ceiling,ramp4,0.9767295354492317,0.9893134699700817,0.012583934520850059
ER(0.5),16,4,20262324,63,pareto15,best_transfer,ramp4,0.9767295354492317,0.9893134699700817,0.012583934520850059
ER(0.5),16,4,20262324,63,pareto15,grid_ceiling,full2p,0.9893134699700816,0.9893134699700817,1.4651051660751131e-16
ER(0.5),16,4,20262324,63,pareto15,binned_sampled,grid,0.7988577298529705,0.9893134699700817,0.19045574011711117
ER(0.5),16,4,20262324,63,pareto15,universal,grid,0.9359896322919,0.9893134699700817,0.05332383767818169
ER(0.5),16,4,20262324,63,pareto15,binned_sampled,ramp4,0.9767295354492309,0.9893134699700817,0.012583934520850791
ER(0.5),16,5,20262325,60,pareto15,grid_ceiling,grid,0.9414824943252875,0.985147453882071,0.04366495955678349
ER(0.5),16,5,20262325,60,pareto15,universal,ramp4,0.969857395438314,0.985147453882071,0.015290058443757044
ER(0.5),16,5,20262325,60,pareto15,best_transfer,grid,0.6623893635227738,0.985147453882071,0.32275809035929726
ER(0.5),16,5,20262325,60,pareto15,binned_sampled,full2p,0.9540612099941417,0.985147453882071,0.031086243887929334
ER(0.5),16,5,20262325,60,pareto15,universal,full2p,0.985147453882071,0.985147453882071,0.0
ER(0.5),16,5,20262325,60,pareto15,best_transfer,full2p,0.985147453882071,0.985147453882071,0.0
ER(0.5),16,5,20262325,60,pareto15,grid_ceiling,ramp4,0.9698573954383138,0.985147453882071,0.015290058443757198
ER(0.5),16,5,20262325,60,pareto15,best_transfer,ramp4,0.969857395438314,0.985147453882071,0.015290058443757044
ER(0.5),16,5,20262325,60,pareto15,grid_ceiling,full2p,0.985147453882071,0.985147453882071,0.0
ER(0.5),16,5,20262325,60,pareto15,binned_sampled,grid,0.8584832525099294,0.985147453882071,0.12666420137214157
ER(0.5),16,5,20262325,60,pareto15,universal,grid,0.6623893635227738,0.985147453882071,0.32275809035929726
ER(0.5),16,5,20262325,60,pareto15,binned_sampled,ramp4,0.9191113465791537,0.985147453882071,0.06603610730291734
