family,n,instance,seed,m,model,params,mse_entry,eps_raw_mean,eps_raw_argmax,eps_cal_mean,eps_cal_argmax,ceil_p1,ar_raw,regret_raw,ar_cal,regret_cal
ER(0.25),10,1,20281612,10,tri_init,0.0;0.0;1.0;1.0,6.194539144237273e-5,0.22594400229121728,0.3809500827669665,0.1607898629358685,0.25774193318373084,0.7733028772858347,0.757765396128019,0.015537481157815725,0.757765396128019,0.015537481157815725
ER(0.25),10,1,20281612,10,tri_25,2.2632295388365975;0.07872626924501609;1.0152384028145922;0.9656357760773377,6.189678650467862e-5,0.21673628168061762,0.36449430052152454,0.16117012889579752,0.2593430544438948,0.7733028772858347,0.757765396128019,0.015537481157815725,0.757765396128019,0.015537481157815725
ER(0.25),10,1,20281612,10,tri_50,5.709328770084401;-0.2607230642345325;0.7174925068155626;0.8295673751559286,5.6376009080161526e-5,0.19659003538054595,0.29757566652438827,0.18648054769029818,0.2806518270031857,0.7733028772858347,0.757765396128019,0.015537481157815725,0.757765396128019,0.015537481157815725
ER(0.25),10,1,20281612,10,tri_fit,5.3166877581176415;-0.057247523008118584;0.7280134353444038;0.8201628609409719,5.581959617743124e-5,0.19607626744466167,0.2928705270681323,0.18514708447406591,0.2749663652374616,0.7733028772858347,0.7311020805786971,0.04220079670713761,0.7311020805786971,0.04220079670713761
ER(0.25),10,1,20281612,10,norm_init,5.0;1.0;1.0,0.00021629583096619085,0.29792510270907946,0.18983198190956715,0.2979251057600444,0.1898319827516281,0.7733028772858347,0.5555555555555557,0.217747321730279,0.5555555555555557,0.217747321730279
ER(0.25),10,1,20281612,10,norm_25,4.653641708677021;7.763645267500411;2.255233726012912,6.335055675757064e-5,0.6100276387859025,0.9881078793014038,0.6324903778894508,1.0258921111686212,0.7733028772858347,0.5555555555555556,0.2177473217302791,0.5555555555555556,0.2177473217302791
ER(0.25),10,1,20281612,10,norm_50,5.288076042618998;2.892480095666269;2.6393277031394504,3.016467535816586e-5,0.13126294037074748,0.15484649804415299,0.13133656659459608,0.15490614608576087,0.7733028772858347,0.5555555555555556,0.2177473217302791,0.5555555555555556,0.2177473217302791
ER(0.25),10,1,20281612,10,norm_fit,5.083764176699915;2.7299817571800946;2.6362144588025056,2.811360821476623e-5,0.12295472939131476,0.14832909542206416,0.12300015068693552,0.14835774100397014,0.7733028772858347,0.5555555555555556,0.2177473217302791,0.5555555555555556,0.2177473217302791
ER(0.25),10,2,20281613,9,emp,-,0.0,0.0,0.0,2.631800734864707e-17,2.6760253334393858e-17,0.7454446386409631,0.704585954673947,0.040858683967016085,0.704585954673947,0.040858683967016085
ER(0.25),10,2,20281613,9,paper,-,1.5051916668621638e-6,162.04222538223905,396.5984690670572,0.021487851704069277,0.018090187832580353,0.7454446386409631,0.7425859917218808,0.0028586469190823305,0.704585954673947,0.040858683967016085
ER(0.25),10,2,20281613,9,tri_init,0.0;0.0;1.0;1.0,5.735370680171613e-5,0.18830315198392228,0.31021378633966074,0.13833153376382404,0.20201164693974205,0.7454446386409631,0.704585954673947,0.040858683967016085,0.704585954673947,0.040858683967016085
ER(0.25),10,2,20281613,9,tri_25,0.0;0.0;1.0;1.0,5.735370680171613e-5,0.18830315198392228,0.31021378633966074,0.13833153376382404,0.20201164693974205,0.7454446386409631,0.704585954673947,0.040858683967016085,0.704585954673947,0.040858683967016085
ER(0.25),10,2,20281613,9,tri_50,1.7126027020596775;0.746933218842708;0.905904725379727;0.7165552016832258,4.899077732830232e-5,0.17593149130878827,0.25360722708065525,0.1523962584726434,0.2090632168253167,0.7454446386409631,0.6224394151463669,0.1230052234945962,0.6224394151463669,0.1230052234945962
ER(0.25),10,2,20281613,9,tri_fit,2.623908358760394;1.4740449895839716;0.9963232250801566;0.3955315562561985,4.41554650031253e-5,0.16896790989782237,0.23523592608497834,0.16616470645757894,0.22990862527535585,0.7454446386409631,0.704585954673947,0.040858683967016085,0.704585954673947,0.040858683967016085
ER(0.25),10,2,20281613,9,norm_init,4.5;1.0;1.0,0.00018957622445890478,0.2988573935409595,0.21530869761899857,0.2988574414209098,0.21530871039781727,0.7454446386409631,0.5000000000000001,0.245444638640963,0.5000000000000001,0.245444638640963
ER(0.25),10,2,20281613,9,norm_25,4.756082972667184;2.2588014991550525;2.3508909337708253,1.2532752565405773e-5,0.12311174042534294,0.15455668582892937,0.12313603104989644,0.15454346437811473,0.7454446386409631,0.5000000000000001,0.245444638640963,0.5000000000000001,0.245444638640963
ER(0.25),10,2,20281613,9,norm_50,4.62792288620071;2.5709031829837414;2.973444305503481,1.1257056587070207e-5,0.1322225347715008,0.18284218865978932,0.1323227409376594,0.18291419882751347,0.7454446386409631,0.5,0.2454446386409631,0.5,0.2454446386409631
ER(0.25),10,2,20281613,9,norm_fit,4.460611982925353;2.5235084085685178;2.4910746867581492,7.732128993360787e-6,0.12560556295618644,0.1649567644384553,0.12564681981850617,0.1649600404252484,0.7454446386409631,0.5,0.2454446386409631,0.5,0.2454446386409631
BA(k=2),10,1,20291612,16,emp,-,0.0,0.0,0.0,0.0,0.0,0.764315783551763,0.7362843700323134,0.0280314135194496,0.7362843700323134,0.0280314135194496
BA(k=2),10,1,20291612,16,paper,-,4.9069009400235446e-5,11.096893839500476,28.731106536438084,0.10324354896762228,0.16661908194693964,0.764315783551763,0.7568524269571473,0.007463356594615722,0.7362843700323134,0.0280314135194496
BA(k=2),10,1,20291612,16,tri_init,0.0;0.0;1.0;1.0,6.987656374210624e-5,0.3409690670152574,0.5085332808196219,0.24489424657081102,0.3515990158208177,0.764315783551763,0.764315783551763,0.0,0.764315783551763,0.0
BA(k=2),10,1,20291612,16,tri_25,2.4939596472334546;0.6198015521627286;0.943038076517097;0.8556604018519012,6.800813279003875e-5,0.3226497487166935,0.4453703827267373,0.26052386338102906,0.3526648583595078,0.764315783551763,0.7598007078560082,0.004515075695754822,0.7598007078560082,0.004515075695754822
BA(k=2),10,1,20291612,16,tri_50,2.0602489128596466;0.8185121920782772;0.8999631732440059;0.8369853153526384,6.788537053398294e-5,0.32375754696230924,0.4337052486143757,0.2660917880595408,0.3507062578581893,0.764315783551763,0.4272499587345979,0.33706582481716507,0.4272499587345979,0.33706582481716507
BA(k=2),10,1,20291612,16,tri_fit,1.7718063861167976;0.580169921504256;0.975395512764388;1.007324667608946,6.710641505994696e-5,0.3270113924059914,0.470212128814984,0.24193003860292395,0.3375703579535064,0.764315783551763,0.4272499587345979,0.33706582481716507,0.4272499587345979,0.33706582481716507
BA(k=2),10,1,20291612,16,norm_init,8.0;1.0;1.0,0.00018387617537285477,0.3526936051660686,0.21007502032270509,0.35269360556956564,0.210075020465264,0.764315783551763,0.6153846153846155,0.14893116816714747,0.6153846153846155,0.14893116816714747
BA(k=2),10,1,20291612,16,norm_25,10.07474500819222;2.9268372644703065;5.670488008078987,9.560720730731131e-5,0.3433427014986556,0.6450791621776168,0.34596486242187635,0.6519110402581068,0.764315783551763,0.6153846153846154,0.14893116816714758,0.6153846153846154,0.14893116816714758
BA(k=2),10,1,20291612,16,norm_50,8.615255368095426;5.720350855962532;4.186941129154252,5.71702649890323e-5,0.4500032876755307,1.0090020644348519,0.4556063133894985,1.0243785578969213,0.764315783551763,0.6153846153846154,0.14893116816714758,0.6153846153846154,0.14893116816714758
BA(k=2),10,1,20291612,16,norm_fit,8.320082120310579;3.3684403905119167;2.950582801828853,4.6969830972971995e-5,0.20867587363011672,0.2853732543771396,0.2088568829642094,0.28579229648962495,0.764315783551763,0.6153846153846154,0.14893116816714758,0.6153846153846154,0.14893116816714758
BA(k=2),10,2,20291613,16,emp,-,0.0,0.0,0.0,0.0,0.0,0.8552511869773533,0.8452109891838405,0.010040197793512728,0.8452109891838405,0.010040197793512728
BA(k=2),10,2,20291613,16,paper,-,4.196125510139599e-5,11.100548741180312,35.22547398291533,0.10249123635529478,0.2210946032148606,0.8552511869773533,0.8548044668804743,0.00044672009687896086,0.8094628048487785,0.04578838212857472
BA(k=2),10,2,20291613,16,tri_init,0.0;0.0;1.0;1.0,5.357236896119769e-5,0.35505485235869094,0.5696795524098276,0.25489058876584475,0.3998912984882267,0.8552511869773533,0.8552511869773533,0.0,0.8552511869773533,0.0
BA(k=2),10,2,20291613,16,tri_25,0.0;0.0;1.0;1.0,5.357236896119769e-5,0.35505485235869094,0.5696795524098276,0.25489058876584475,0.3998912984882267,0.8552511869773533,0.8552511869773533,0.0,0.8552511869773533,0.0
BA(k=2),10,2,20291613,16,tri_50,0.0;-0.03860796495487445;1.0334725571623402;1.1686443424045339,5.0225848339354874e-5,0.3522909890919376,0.5852560569845514,0.23429897613587952,0.3790396648372046,0.8552511869773533,0.8452109891838405,0.010040197793512728,0.8452109891838405,0.010040197793512728
BA(k=2),10,2,20291613,16,tri_fit,0.9356663269946821;-0.10766240208335934;1.2075509073340616;1.4798440936770434,4.8701393750660264e-5,0.3492671841286807,0.6338378683218149,0.20185521146880955,0.35092992100293774,0.8552511869773533,0.5047052774064261,0.35054590957092713,0.5047052774064261,0.35054590957092713
BA(k=2),10,2,20291613,16,norm_init,8.0;1.0;1.0,0.0002387823193066633,0.35088362751060725,0.18731027792404015,0.3508836279229232,0.18731027805697564,0.8552511869773533,0.6666666666666669,0.1885845203106864,0.6666666666666669,0.1885845203106864
BA(k=2),10,2,20291613,16,norm_25,7.700398665100047;3.188906914664006;6.8501757675706205,4.2480983990688226e-5,0.39146187699746354,0.7218849318906803,0.39688086037212905,0.7332333700154181,0.8552511869773533,0.6666666666666666,0.18858452031068662,0.6666666666666666,0.18858452031068662
BA(k=2),10,2,20291613,16,norm_50,8.380779867380197;3.782881547741459;6.985633883740146,4.074645661106233e-5,0.42432662717834174,0.7875793246642924,0.4311479372743119,0.8021718529841357,0.8552511869773533,0.6666666666666666,0.18858452031068662,0.6666666666666666,0.18858452031068662
BA(k=2),10,2,20291613,16,norm_fit,8.159412731803599;4.814314945700114;5.114043214786201,3.8940299352020436e-5,0.3887023726030858,0.7102031225245284,0.39263902124245526,0.718598930394829,0.8552511869773533,0.6666666666666666,0.18858452031068662,0.6666666666666666,0.18858452031068662
BA(k=4),10,1,20301612,24,emp,-,0.0,0.0,0.0,0.0,0.0,0.7889440340703954,0.7790069567955543,0.009937077274841055,0.7790069567955543,0.009937077274841055
BA(k=4),10,1,20301612,24,paper,-,2.9179682343763956e-5,0.3265336167427547,0.11276356649075608,0.14166029340082895,0.2910953314870058,0.7889440340703954,0.40219078559316984,0.38675324847722553,0.7394814718321814,0.04946256223821399
BA(k=4),10,1,20301612,24,tri_init,0.0;0.0;1.0;1.0,4.460491277905761e-5,0.5127762423215457,0.7077031137581674,0.373227742933775,0.4981687381731829,0.7889440340703954,0.7787073785890634,0.010236655481332013,0.7787073785890634,0.010236655481332013
