family,n,instance,model,tag,pearson,spearman_grid,dgamma,dbeta,same_argmax,slicesum_min,slicesum_max
ER(0.5),12,5,tri_25,cal,0.31653394891630227,0.3478917193024499,0.4027682889217684,1.0069207223044208,0,11402.728556977863,11402.728556977865
ER(0.5),12,5,tri_50,raw,0.31653414958266035,0.34789437276061774,0.4027682889217684,1.0069207223044208,0,11402.654200844909,11402.65420084491
ER(0.5),12,5,tri_50,cal,0.31653414958266046,0.3478967691511425,0.4027682889217684,1.0069207223044208,0,11402.654200844909,11402.65420084491
ER(0.5),12,5,tri_fit,raw,0.31653197524862314,0.3478944998754212,0.4027682889217684,1.0069207223044208,0,11402.605256820692,11402.605256820694
ER(0.5),12,5,tri_fit,cal,0.316531975248623,0.34789373554072955,0.4027682889217684,1.0069207223044208,0,11402.605256820692,11402.605256820694
ER(0.5),12,5,norm_init,raw,-0.10763342517034381,-0.5268749009027235,0.32221463113741466,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,5,norm_init,cal,-0.10763342517034377,-0.5268738093681286,0.32221463113741466,0.5235987755982989,0,4095.9999999251268,4095.9999999251268
ER(0.5),12,5,norm_25,raw,0.4506758056216472,0.7111576911355701,0.32221463113741466,0.28193780224523785,0,3881.9572311041247,4036.961959899198
ER(0.5),12,5,norm_25,cal,0.4507453327711708,0.7111851148638618,0.32221463113741466,0.28193780224523785,0,3881.9572311041247,4036.961959899198
ER(0.5),12,5,norm_50,raw,0.4472759978388209,0.7086804465546374,0.32221463113741466,0.28193780224523785,0,3894.7702052707928,4030.0889198301797
ER(0.5),12,5,norm_50,cal,0.4473321351376229,0.7086865778045885,0.32221463113741466,0.28193780224523785,0,3894.7702052707928,4030.0889198301797
ER(0.5),12,5,norm_fit,raw,0.4443095818426863,0.7069255387605786,0.32221463113741466,0.28193780224523785,0,3914.2308801242593,4024.1372630479455
ER(0.5),12,5,norm_fit,cal,0.44434957493585386,0.7069442077432382,0.32221463113741466,0.28193780224523785,0,3914.2308801242593,4024.1372630479455
ER(0.5),12,6,emp,raw,0.999375,0.9993750000000001,0.0,0.0,1,4095.9999999999995,4096.0
ER(0.5),12,6,emp,cal,0.999375,0.9993749956076221,0.0,0.0,1,4095.9999999999995,4096.0
ER(0.5),12,6,paper,raw,0.003410629837242254,0.4507995679180423,0.40276828892176836,0.8055365778435366,0,553.3427319034643,2.108067303494905e6
ER(0.5),12,6,paper,cal,0.9874353423307927,0.9878836462943209,0.16110731556870736,0.0,0,553.3427319034643,2.108067303494905e6
ER(0.5),12,6,tri_init,raw,0.193103029028124,0.18291815507728404,0.5638756044904756,0.0,0,7784.0,7784.000000000001
ER(0.5),12,6,tri_init,cal,0.19310302902812407,0.1829185322004257,0.5638756044904756,0.0,0,7784.0,7784.000000000001
ER(0.5),12,6,tri_25,raw,0.32899520828364437,0.34455359185756906,0.24166097335306097,1.0069207223044208,0,12232.894259403249,12257.475943287438
ER(0.5),12,6,tri_25,cal,0.32900725558043414,0.3445501161032619,0.24166097335306097,1.0069207223044208,0,12232.894259403249,12257.475943287438
ER(0.5),12,6,tri_50,raw,0.3291007692841922,0.3446595228232765,0.24166097335306097,1.0069207223044208,0,12236.393781695439,12260.873647094624
ER(0.5),12,6,tri_50,cal,0.3291127522932962,0.3446586638864607,0.24166097335306097,1.0069207223044208,0,12236.393781695439,12260.873647094624
ER(0.5),12,6,tri_fit,raw,0.3291027445293784,0.34466028533820475,0.24166097335306097,1.0069207223044208,0,12238.633458894146,12262.920403194612
ER(0.5),12,6,tri_fit,cal,0.3291146975452948,0.3446728178089133,0.24166097335306097,1.0069207223044208,0,12238.633458894146,12262.920403194612
ER(0.5),12,6,norm_init,raw,-0.09544551309179841,-0.5095558264588199,0.40276828892176836,0.483321946706122,0,4096.000043757047,4096.000043757047
ER(0.5),12,6,norm_init,cal,-0.09544551309179851,-0.5095528891889431,0.40276828892176836,0.5235987755982989,0,4096.000043757047,4096.000043757047
ER(0.5),12,6,norm_25,raw,0.43526477619399956,0.7193404072547284,0.40276828892176836,0.28193780224523785,0,4003.7574742539928,4036.65807080311
ER(0.5),12,6,norm_25,cal,0.4352708416821195,0.7193404072547284,0.40276828892176836,0.28193780224523785,0,4003.7574742539928,4036.65807080311
ER(0.5),12,6,norm_50,raw,0.4352241796796933,0.7193400793125938,0.40276828892176836,0.28193780224523785,0,4003.9683602465607,4036.595211871897
ER(0.5),12,6,norm_50,cal,0.43523015554321703,0.7193333623549472,0.40276828892176836,0.28193780224523785,0,4003.9683602465607,4036.595211871897
ER(0.5),12,6,norm_fit,raw,0.43521889712110845,0.719332401952982,0.40276828892176836,0.28193780224523785,0,4003.99274273123,4036.586541998113
ER(0.5),12,6,norm_fit,cal,0.43522486213643463,0.7193333623549472,0.40276828892176836,0.28193780224523785,0,4003.99274273123,4036.586541998113
ER(0.5),12,7,emp,raw,0.9993750000000002,0.9993750000000002,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,7,emp,cal,0.9993750000000002,0.9993750000000002,0.0,0.0,1,4096.0,4096.0
ER(0.5),12,7,paper,raw,0.9898702184482315,0.9900407299550792,0.0805536577843537,0.0,0,4095.9999999999986,4096.0000000000655
