family,n,inst,W,nclasses,maxclass,varT,varE_exact,capture_quad,V2,cubic_ratio
WS(k=4;b=0.5),14,5,43.0,33,1610,3876.0,1547.2855,0.9838,2328.7145,0.9974
WS(k=4;b=0.5),14,6,46.0,35,1534,4628.0,1707.2367,0.9916,2920.7633,0.9967
WS(k=4;b=0.5),14,7,42.0,35,1690,3624.0,1264.3979,0.9821,2359.6021,0.997
WS(k=4;b=0.5),14,8,41.0,32,1636,3304.0,1345.6601,0.9893,1958.3399,0.9973
WS(k=4;b=0.5),14,9,47.0,36,1500,5632.0,2133.0172,0.9887,3498.9828,0.9965
WS(k=4;b=0.5),14,10,41.0,34,1626,3384.0,1292.4923,0.9859,2091.5077,0.9966
3-regular,12,1,29.0,25,478,1816.0,585.3743,0.972,1230.6257,0.9968
3-regular,12,2,24.0,20,538,592.0,171.4122,0.9729,420.5878,0.9979
3-regular,12,3,28.0,24,466,1240.0,353.0435,0.9538,886.9565,0.9974
3-regular,12,4,25.0,20,564,740.0,211.9446,0.9744,528.0554,0.9975
3-regular,12,5,28.0,22,476,1180.0,373.7616,0.9871,806.2384,0.9977
3-regular,12,6,27.0,21,484,896.0,236.9035,0.9651,659.0965,0.9969
3-regular,12,7,24.0,19,546,604.0,213.3413,0.9707,390.6587,0.9984
3-regular,12,8,27.0,22,508,992.0,325.365,0.9725,666.635,0.998
3-regular,12,9,28.0,22,464,1216.0,477.6598,0.973,738.3402,0.9984
3-regular,12,10,28.0,23,492,1440.0,662.642,0.9677,777.358,0.9987
3-regular,14,1,31.0,26,1800,900.0,188.52,0.974,711.48,0.9971
3-regular,14,2,35.0,29,1652,1708.0,382.8075,0.9842,1325.1925,0.9968
3-regular,14,3,36.0,31,1608,1928.0,483.8102,0.9824,1444.1898,0.9977
3-regular,14,4,27.0,22,2132,628.0,153.4713,0.9746,474.5287,0.998
3-regular,14,5,33.0,27,1726,1444.0,354.061,0.9818,1089.939,0.997
3-regular,14,6,34.0,27,1634,1420.0,486.5668,0.9872,933.4332,0.9982
3-regular,14,7,30.0,26,1844,1012.0,234.9563,0.9919,777.0437,0.9974
3-regular,14,8,34.0,28,1672,1532.0,349.9275,0.9898,1182.0725,0.9968
3-regular,14,9,36.0,29,1628,1900.0,431.5065,0.9846,1468.4935,0.997
3-regular,14,10,34.0,28,1720,1532.0,430.2709,0.9783,1101.7291,0.9979
