family,n,instance,seed,m,kind,K,p,value,ceil,regret
ER(0.5),14,5,20262111,42,leak_g0.2_b0.2,32,1,0.022692778711751013,,
ER(0.5),14,5,20262111,42,leak_g0.5_b0.3,32,1,0.11065298858383067,,
ER(0.5),14,5,20262111,42,leak_g1.0_b0.4,32,1,0.4259381354542521,,
ER(0.5),14,5,20262111,42,binned_proxy,32,1,0.782546127217345,0.8180326465466986,0.03548651932935365
ER(0.5),14,5,20262111,42,binned_proxy,32,3,0.8199653521394399,0.9033713264541738,0.08340597431473395
ER(0.5),14,5,20262111,42,leak_g0.2_b0.2,64,1,0.016947789955133557,,
ER(0.5),14,5,20262111,42,leak_g0.5_b0.3,64,1,0.1053269775356561,,
ER(0.5),14,5,20262111,42,leak_g1.0_b0.4,64,1,0.416404315528888,,
ER(0.5),14,5,20262111,42,binned_proxy,64,1,0.782546127217345,0.8180326465466986,0.03548651932935365
ER(0.5),14,5,20262111,42,binned_proxy,64,3,0.8303299635977152,0.9033713264541738,0.07304136285645868
ER(0.5),14,5,20262111,42,leak_g0.2_b0.2,128,1,0.013977952271472827,,
ER(0.5),14,5,20262111,42,leak_g0.5_b0.3,128,1,0.10287946986416735,,
ER(0.5),14,5,20262111,42,leak_g1.0_b0.4,128,1,0.4112571649837316,,
ER(0.5),14,5,20262111,42,binned_proxy,128,1,0.782546127217345,0.8180326465466986,0.03548651932935365
ER(0.5),14,5,20262111,42,binned_proxy,128,3,0.8303299635977152,0.9033713264541738,0.07304136285645868
ER(0.5),14,6,20262112,53,ceiling,0,1,0.8085188620971405,0.8085188620971405,0.0
ER(0.5),14,6,20262112,53,ceiling,0,3,0.8968753261263189,0.8968753261263189,0.0
ER(0.5),14,6,20262112,53,leak_g0.2_b0.2,4,1,0.08656967301541212,,
ER(0.5),14,6,20262112,53,leak_g0.5_b0.3,4,1,0.23143777894179174,,
ER(0.5),14,6,20262112,53,leak_g1.0_b0.4,4,1,0.5978028147559082,,
ER(0.5),14,6,20262112,53,binned_proxy,4,1,0.7197356079852274,0.8085188620971405,0.08878325411191312
ER(0.5),14,6,20262112,53,binned_proxy,4,3,0.7642096814892272,0.8968753261263189,0.13266564463709174
ER(0.5),14,6,20262112,53,leak_g0.2_b0.2,8,1,0.05688937730836332,,
ER(0.5),14,6,20262112,53,leak_g0.5_b0.3,8,1,0.17655294986524772,,
ER(0.5),14,6,20262112,53,leak_g1.0_b0.4,8,1,0.5431809266690578,,
ER(0.5),14,6,20262112,53,binned_proxy,8,1,0.7631117534461699,0.8085188620971405,0.04540710865097064
