family,n,instance,seed,m,ceil_p1,ar_raw_p1,ar_phys_p1,ar_tight_p1,frac_phys_p1,frac_tight_p1,ceil_p3,ar_raw_p3,ar_phys_p3,ar_tight_p3,frac_phys_p3,frac_tight_p3
BA(k=4),12,13,20301824,32,0.8514040541966298,0.8393756775870455,0.8393756775870455,0.8324163668301169,1.0,0.996875,0.911271328513163,0.8271806636084809,0.8092889524389463,0.8254828818530378,0.6904296875,0.609375
BA(k=4),12,14,20301825,32,0.8515611527532033,0.840487874518552,0.840487874518552,0.8337688879922741,1.0,0.996875,0.923810563155903,0.8379415210636594,0.8156032246872673,0.8269127879846426,0.6904296875,0.609375
BA(k=4),12,15,20301826,32,0.8151212447103448,0.8043697116207223,0.8043697116207223,0.79872320606364,1.0,0.996875,0.9052002474972135,0.8168677662593925,0.7779644214826057,0.7985301875662884,0.6904296875,0.609375
BA(k=4),12,16,20301827,32,0.8511128909850038,0.8403113626724469,0.8403113626724469,0.8340565752814387,1.0,0.996875,0.9369259919547843,0.8506674826854234,0.8186242731966683,0.8309478379363725,0.6904296875,0.609375
BA(k=4),12,17,20301828,32,0.853465023563709,0.8413773647414948,0.8413773647414948,0.8356268355763924,1.0,0.996875,0.9327993490687728,0.8455904198522938,0.8159687913428151,0.8376657710479436,0.6904296875,0.609375
BA(k=4),12,18,20301829,32,0.8149149964818,0.8042927059809454,0.8042927059809454,0.7985430652225307,1.0,0.996875,0.9047880003518839,0.8157357526698672,0.7839643254514511,0.802765753536739,0.6904296875,0.609375
BA(k=4),12,19,20301830,32,0.7959200420459484,0.783629999183348,0.783629999183348,0.7828050999649824,1.0,0.996875,0.9106677723980963,0.8177348144500088,0.7517555995350623,0.7869690985120874,0.6904296875,0.609375
BA(k=4),12,20,20301831,32,0.8188849294332706,0.8077144221915159,0.8077144221915159,0.8030698662353963,1.0,0.996875,0.8921701602699749,0.8133478832350348,0.7775376361606925,0.8009152599683927,0.6904296875,0.609375
BA(k=4),12,21,20301832,32,0.8467913089531358,0.8355190629155693,0.8355190629155693,0.8276203627444592,1.0,0.996875,0.9198775001165148,0.8322355396174976,0.8142753482676287,0.826845012159399,0.6904296875,0.609375
BA(k=4),12,22,20301833,32,0.7851979485009544,0.7751860722126439,0.7751860722126439,0.7712106958419925,1.0,0.996875,0.8887653282017344,0.7963259133673519,0.7526390431992122,0.774392440002503,0.6904296875,0.609375
BA(k=4),12,23,20301834,32,0.8154042129951499,0.804379182825423,0.804379182825423,0.7987845447058299,1.0,0.996875,0.8920262303131269,0.8090387145643262,0.7801783785897808,0.7995467277009085,0.6904296875,0.609375
BA(k=4),12,24,20301835,32,0.8220716977966325,0.8109807600286081,0.8109807600286081,0.8067904618098372,1.0,0.996875,0.905046033339948,0.8166531843922695,0.7797191300838675,0.8049952156594629,0.6904296875,0.609375
BA(k=4),12,25,20301836,32,0.8215977841271276,0.810701970771882,0.810701970771882,0.8066886428308585,1.0,0.996875,0.8959133657500336,0.8149870536805288,0.7794252439776402,0.7992544901567367,0.6904296875,0.609375
BA(k=4),12,26,20301837,32,0.8189005091883608,0.8077276020941112,0.8077276020941112,0.8028147986254418,1.0,0.996875,0.8953631635287495,0.810452611589439,0.7763944135782855,0.800639999843457,0.6904296875,0.609375
BA(k=4),12,27,20301838,32,0.8131873059919086,0.8025224839543307,0.8025224839543307,0.7960032684310159,1.0,0.996875,0.8942978795782274,0.8058538713593691,0.7834446652017482,0.7978177972258157,0.6904296875,0.609375
BA(k=4),12,28,20301839,32,0.8095218671737486,0.7990526390365763,0.7990526390365763,0.7917821198673216,1.0,0.996875,0.8903172330338565,0.805446336407659,0.7861188523239345,0.790868736535816,0.6904296875,0.609375
BA(k=4),12,29,20301840,32,0.8311334738646302,0.8180867723747742,0.8180867723747742,0.8167411286990379,1.0,0.996875,0.9201775415803498,0.8353331193809904,0.7828224471902796,0.8176609069828054,0.6904296875,0.609375
BA(k=4),12,30,20301841,32,0.7640125544458456,0.7523545070566016,0.7523545070566016,0.7511019182268828,1.0,0.996875,0.8598898275863108,0.7749002580294493,0.7199023967840956,0.7514593429464114,0.6904296875,0.609375
BA(k=4),14,1,20302012,40,0.8408245738361163,0.8276605622144115,0.7156221287305081,0.7008533290642127,0.713125,0.600625,0.9296976745738644,0.8612522737664141,0.7132440917570931,0.7272422691526685,0.02783203125,0.02197265625
BA(k=4),14,2,20302013,40,0.8114102791842809,0.7991129700872819,0.6915047180331446,0.6769641175508704,0.713125,0.600625,0.8982918641447273,0.8363128305106615,0.686290543990712,0.6975857650293864,0.02783203125,0.02197265625
BA(k=4),14,3,20302014,40,0.8066305944403441,0.7928292239104394,0.6910528440189363,0.6757091349586267,0.713125,0.600625,0.888980016138774,0.826084506574862,0.685934294468109,0.6962926713692661,0.02783203125,0.02197265625
BA(k=4),14,4,20302015,40,0.8370296059342613,0.8234248567198227,0.7158262334304736,0.6996010958798943,0.713125,0.600625,0.922880896834707,0.8583188235553428,0.7086849428039391,0.7220921412557174,0.02783203125,0.02197265625
BA(k=4),14,5,20302016,40,0.8372756327720092,0.8233624697989477,0.7158227234860609,0.7000320713920297,0.713125,0.600625,0.9204886247277783,0.853079413690949,0.7055711963574244,0.7183408453062069,0.02783203125,0.02197265625
BA(k=4),14,6,20302017,40,0.801958063263584,0.7941787756279074,0.6672375948316884,0.6568347684800105,0.713125,0.600625,0.901342162886445,0.8394185419517506,0.6802644577661956,0.6813497248151845,0.02783203125,0.02197265625
BA(k=4),14,7,20302018,40,0.8319349924640519,0.8162685267819823,0.7164830881337204,0.6994883385594457,0.713125,0.600625,0.9178620394213123,0.8513511096390207,0.7040792485983022,0.721150328330362,0.02783203125,0.02197265625
BA(k=4),14,8,20302019,40,0.830593175600009,0.8133598521986342,0.7162691004617289,0.6984452694311322,0.713125,0.600625,0.9080447566508669,0.8387785103534784,0.695788525902145,0.7225239182654892,0.02783203125,0.02197265625
BA(k=4),14,9,20302020,40,0.7802197921509247,0.7672182831075841,0.6678330761129434,0.6530178291886005,0.713125,0.600625,0.8691848292374423,0.8026122925203926,0.6681115849276622,0.6777223773122116,0.02783203125,0.02197265625
BA(k=4),14,10,20302021,40,0.7891657204400447,0.7783992721085408,0.6679221791295414,0.6544632114594447,0.713125,0.600625,0.8886648839082347,0.8218626143281818,0.6688848701262348,0.6776676455870524,0.02783203125,0.02197265625
BA(k=4),14,11,20302022,40,0.8375632411452322,0.8238670241989299,0.715542501330658,0.6998409568944842,0.713125,0.600625,0.9200556677787928,0.8542504580534436,0.7067710893375055,0.7203145493195381,0.02783203125,0.02197265625
BA(k=4),14,12,20302023,40,0.8103730529096428,0.7975937285106602,0.6907630920576346,0.6758771896147407,0.713125,0.600625,0.8973427633839643,0.8360995193890328,0.6852545085737695,0.6994138161158978,0.02783203125,0.02197265625
BA(k=4),14,13,20302024,40,0.8473468234631805,0.8352312825047868,0.7148894893748378,0.7032952979928897,0.713125,0.600625,0.9251269217717498,0.8570094393936741,0.7110709341872086,0.723730659889604,0.02783203125,0.02197265625
BA(k=4),14,14,20302025,40,0.8161604502067575,0.8043193795701196,0.6903477091745805,0.6778303910473484,0.713125,0.600625,0.9031265360264152,0.8361099105170158,0.6912390475110249,0.702869126058163,0.02783203125,0.02197265625
BA(k=4),14,15,20302026,40,0.8092275493787602,0.7958974621516562,0.6907699478750975,0.6762724772624653,0.713125,0.600625,0.8953955317366558,0.8289496679736552,0.6880121884837701,0.7040737202473449,0.02783203125,0.02197265625
BA(k=4),14,16,20302027,40,0.8364112856817403,0.8223651577003253,0.7158433888579978,0.6997826226664229,0.713125,0.600625,0.9172327434420582,0.8516281532378189,0.7086905308699988,0.7258829249887947,0.02783203125,0.02197265625
BA(k=4),14,17,20302028,40,0.7868895139554676,0.7761120427207014,0.6684682515666455,0.654210138478828,0.713125,0.600625,0.8840354715296852,0.8194715383839508,0.6693714714937232,0.6761272236051622,0.02783203125,0.02197265625
BA(k=4),14,18,20302029,40,0.8129812127061646,0.8010941001649694,0.6911416548353195,0.6762028893936324,0.713125,0.600625,0.9130642846015758,0.8418380221458565,0.6876679635329142,0.7007360916910608,0.02783203125,0.02197265625
BA(k=4),14,19,20302030,40,0.8377071284887777,0.8234150070834965,0.7151480371840373,0.7008088815129538,0.713125,0.600625,0.9199647663386635,0.8497470388330812,0.7040563189967012,0.7231013927540886,0.02783203125,0.02197265625
BA(k=4),14,20,20302031,40,0.7913300730146012,0.7808562736684986,0.6675168174694763,0.6550199585135897,0.713125,0.600625,0.8810128318513328,0.817254282524024,0.6715500465545357,0.6795188248484483,0.02783203125,0.02197265625
BA(k=4),14,21,20302032,40,0.8235934363100157,0.8138414275475568,0.690269833084593,0.6790415810385558,0.713125,0.600625,0.918682654478778,0.8527875142968069,0.697762636108029,0.7043936393566154,0.02783203125,0.02197265625
BA(k=4),14,22,20302033,40,0.7764191281883494,0.7625581089452651,0.6687311372284093,0.652017668353588,0.713125,0.600625,0.8613543189388466,0.799335773684498,0.6575172358316602,0.6701227888870815,0.02783203125,0.02197265625
BA(k=4),14,23,20302034,40,0.8121833297721119,0.7998604996310301,0.6909823907017784,0.6763560732541108,0.713125,0.600625,0.900787166335933,0.8392486529815306,0.6938677261504873,0.6985414010072676,0.02783203125,0.02197265625
BA(k=4),14,24,20302035,40,0.8148116583454231,0.8025099722445048,0.690485238536985,0.6778531263214707,0.713125,0.600625,0.9030041177508772,0.8328061440791249,0.6902023067523193,0.7010977747107916,0.02783203125,0.02197265625
BA(k=4),14,25,20302036,40,0.7596960433088001,0.7481402693499889,0.6461534635415864,0.6326491253801219,0.713125,0.600625,0.863483094831872,0.7921610464007331,0.6495005120314197,0.6540263030150848,0.02783203125,0.02197265625
BA(k=4),14,26,20302037,40,0.8397536482824935,0.8267365061876052,0.7154735025758632,0.7000156338267577,0.713125,0.600625,0.9247169707682611,0.859857108527366,0.7092693763218352,0.7247783153485611,0.02783203125,0.02197265625
BA(k=4),14,27,20302038,40,0.8169626008620497,0.8055326131799053,0.690439347446997,0.6779218889504827,0.713125,0.600625,0.8985552549508117,0.8334453088795732,0.6928343191194672,0.7010305456479365,0.02783203125,0.02197265625
BA(k=4),14,28,20302039,40,0.7853670561984845,0.7739229619197668,0.6680384572363128,0.6534110642552624,0.713125,0.600625,0.8807929737295245,0.8150185709955913,0.6728262896771668,0.6775085755674513,0.02783203125,0.02197265625
BA(k=4),14,29,20302040,40,0.8479061487106987,0.8362096252424479,0.7149319367666492,0.7031435163085733,0.713125,0.600625,0.9236486228063071,0.8581574585773082,0.7051205355361476,0.7199413947163278,0.02783203125,0.02197265625
