family,n,inst,seed,m,ramp,P,K,d,E_cc,E_full_d,E_prefix_d,max_angle_deg
WS(k=4;b=0.1),12,4,20311815,24,small,20,5,4,0.98977,0.99885,0.98946,73.42
WS(k=4;b=0.1),12,4,20311815,24,moderate,20,5,4,0.97515,0.99753,0.94133,76.12
WS(k=4;b=0.1),12,4,20311815,24,large,20,5,4,0.90624,0.98498,0.80295,79.34
WS(k=4;b=0.1),12,5,20311816,24,small,20,5,4,0.98945,0.99854,0.98714,72.85
WS(k=4;b=0.1),12,5,20311816,24,moderate,20,5,4,0.97241,0.99655,0.91553,85.46
WS(k=4;b=0.1),12,5,20311816,24,large,20,5,4,0.9094,0.97699,0.72013,89.32
WS(k=4;b=0.1),14,1,20312012,28,small,20,5,4,0.98652,0.99811,0.98283,71.68
WS(k=4;b=0.1),14,1,20312012,28,moderate,20,5,4,0.9701,0.99617,0.90979,81.92
WS(k=4;b=0.1),14,1,20312012,28,large,20,5,4,0.91303,0.97919,0.7344,88.35
WS(k=4;b=0.1),14,2,20312013,28,small,20,5,4,0.9807,0.9979,0.97277,69.28
WS(k=4;b=0.1),14,2,20312013,28,moderate,20,5,4,0.94658,0.99553,0.83792,88.95
WS(k=4;b=0.1),14,2,20312013,28,large,20,5,4,0.87263,0.96634,0.66987,88.68
WS(k=4;b=0.1),14,3,20312014,28,small,20,5,4,0.98967,0.99854,0.989,74.08
WS(k=4;b=0.1),14,3,20312014,28,moderate,20,5,4,0.97691,0.99674,0.94476,73.62
WS(k=4;b=0.1),14,3,20312014,28,large,20,5,4,0.91617,0.98018,0.77332,86.11
WS(k=4;b=0.1),14,4,20312015,28,small,20,5,4,0.98406,0.99821,0.97742,67.58
WS(k=4;b=0.1),14,4,20312015,28,moderate,20,5,4,0.95296,0.9957,0.85808,89.76
WS(k=4;b=0.1),14,4,20312015,28,large,20,5,4,0.86994,0.96724,0.67752,87.41
WS(k=4;b=0.1),14,5,20312016,28,small,20,5,4,0.98666,0.99825,0.98365,71.41
WS(k=4;b=0.1),14,5,20312016,28,moderate,20,5,4,0.9677,0.99617,0.91003,82.76
WS(k=4;b=0.1),14,5,20312016,28,large,20,5,4,0.88279,0.97806,0.72141,88.43
WS(k=4;b=0.5),12,1,20321812,24,small,20,5,4,0.98989,0.9982,0.98643,79.65
WS(k=4;b=0.5),12,1,20321812,24,moderate,20,5,4,0.97699,0.99692,0.92537,78.64
WS(k=4;b=0.5),12,1,20321812,24,large,20,5,4,0.92055,0.98301,0.75951,87.08
WS(k=4;b=0.5),12,2,20321813,24,small,20,5,4,0.98994,0.9984,0.98774,83.06
WS(k=4;b=0.5),12,2,20321813,24,moderate,20,5,4,0.97661,0.99678,0.93006,80.49
WS(k=4;b=0.5),12,2,20321813,24,large,20,5,4,0.92042,0.98098,0.75319,88.33
WS(k=4;b=0.5),12,3,20321814,24,small,20,5,4,0.98244,0.99766,0.97379,65.84
WS(k=4;b=0.5),12,3,20321814,24,moderate,20,5,4,0.95129,0.99603,0.83184,89.08
WS(k=4;b=0.5),12,3,20321814,24,large,20,5,4,0.87219,0.96842,0.66999,89.04
WS(k=4;b=0.5),12,4,20321815,24,small,20,5,4,0.98901,0.99804,0.98467,76.38
WS(k=4;b=0.5),12,4,20321815,24,moderate,20,5,4,0.96839,0.99643,0.90522,85.32
WS(k=4;b=0.5),12,4,20321815,24,large,20,5,4,0.8906,0.97664,0.713,88.49
WS(k=4;b=0.5),12,5,20321816,24,small,20,5,4,0.98451,0.99806,0.9775,64.86
WS(k=4;b=0.5),12,5,20321816,24,moderate,20,5,4,0.95673,0.9965,0.86468,86.77
WS(k=4;b=0.5),12,5,20321816,24,large,20,5,4,0.89236,0.97814,0.70949,88.2
WS(k=4;b=0.5),14,1,20322012,28,small,20,5,4,0.98544,0.99804,0.98133,76.85
WS(k=4;b=0.5),14,1,20322012,28,moderate,20,5,4,0.96372,0.99602,0.8991,85.67
WS(k=4;b=0.5),14,1,20322012,28,large,20,5,4,0.88102,0.97755,0.71155,88.25
WS(k=4;b=0.5),14,2,20322013,28,small,20,5,4,0.98151,0.99759,0.97347,69.4
WS(k=4;b=0.5),14,2,20322013,28,moderate,20,5,4,0.9532,0.99568,0.85672,88.42
WS(k=4;b=0.5),14,2,20322013,28,large,20,5,4,0.88608,0.97453,0.68202,88.15
WS(k=4;b=0.5),14,3,20322014,28,small,20,5,4,0.98773,0.99817,0.98498,74.86
WS(k=4;b=0.5),14,3,20322014,28,moderate,20,5,4,0.9698,0.99612,0.91717,81.94
WS(k=4;b=0.5),14,3,20322014,28,large,20,5,4,0.88751,0.9769,0.7261,88.06
WS(k=4;b=0.5),14,4,20322015,28,small,20,5,4,0.98116,0.99748,0.97083,69.05
WS(k=4;b=0.5),14,4,20322015,28,moderate,20,5,4,0.94196,0.99517,0.83485,88.55
WS(k=4;b=0.5),14,4,20322015,28,large,20,5,4,0.83751,0.96184,0.65053,88.91
WS(k=4;b=0.5),14,5,20322016,28,small,20,5,4,0.9851,0.99799,0.98101,75.48
WS(k=4;b=0.5),14,5,20322016,28,moderate,20,5,4,0.96428,0.99613,0.90057,84.54
WS(k=4;b=0.5),14,5,20322016,28,large,20,5,4,0.89843,0.97808,0.71885,88.52
3-regular,12,1,20331812,18,small,20,5,4,0.98994,0.99912,0.98495,59.53
3-regular,12,1,20331812,18,moderate,20,5,4,0.97618,0.99785,0.89689,81.03
3-regular,12,1,20331812,18,large,20,5,4,0.94589,0.98901,0.72125,87.62
3-regular,12,2,20331813,18,small,20,5,4,0.99026,0.99923,0.98815,71.37
3-regular,12,2,20331813,18,moderate,20,5,4,0.96794,0.99768,0.89362,88.06
3-regular,12,2,20331813,18,large,20,5,4,0.92908,0.9819,0.7116,87.76
3-regular,12,3,20331814,18,small,20,5,4,0.98858,0.99909,0.98577,66.86
3-regular,12,3,20331814,18,moderate,20,5,4,0.96369,0.99759,0.8845,85.72
3-regular,12,3,20331814,18,large,20,5,4,0.89149,0.98419,0.70505,87.89
3-regular,12,4,20331815,18,small,20,5,4,0.99266,0.99941,0.9928,63.69
3-regular,12,4,20331815,18,moderate,20,5,4,0.98205,0.99801,0.94812,73.55
3-regular,12,4,20331815,18,large,20,5,4,0.93736,0.98824,0.77261,85.8
3-regular,12,5,20331816,18,small,20,5,4,0.99262,0.99939,0.99277,68.59
3-regular,12,5,20331816,18,moderate,20,5,4,0.98193,0.99792,0.94981,73.84
3-regular,12,5,20331816,18,large,20,5,4,0.93518,0.98772,0.78842,87.44
3-regular,14,1,20332012,21,small,20,5,4,0.99163,0.99931,0.99115,62.83
3-regular,14,1,20332012,21,moderate,20,5,4,0.9759,0.99753,0.934,76.8
3-regular,14,1,20332012,21,large,20,5,4,0.92103,0.98619,0.74729,85.85
3-regular,14,2,20332013,21,small,20,5,4,0.98678,0.99885,0.98221,66.14
3-regular,14,2,20332013,21,moderate,20,5,4,0.95672,0.99684,0.87281,87.67
3-regular,14,2,20332013,21,large,20,5,4,0.86143,0.97537,0.67371,89.34
3-regular,14,3,20332014,21,small,20,5,4,0.98939,0.99921,0.98802,64.38
3-regular,14,3,20332014,21,moderate,20,5,4,0.96874,0.99721,0.91074,84.22
3-regular,14,3,20332014,21,large,20,5,4,0.88716,0.98223,0.71718,88.8
3-regular,14,4,20332015,21,small,20,5,4,0.98878,0.99919,0.98666,64.5
3-regular,14,4,20332015,21,moderate,20,5,4,0.96559,0.99732,0.90096,85.02
3-regular,14,4,20332015,21,large,20,5,4,0.89127,0.98277,0.70922,88.32
3-regular,14,5,20332016,21,small,20,5,4,0.98982,0.9992,0.98888,67.55
3-regular,14,5,20332016,21,moderate,20,5,4,0.96641,0.99739,0.91819,83.78
3-regular,14,5,20332016,21,large,20,5,4,0.89586,0.98504,0.74815,87.07
