density,n,instance,seed,m,method,p,ar,ceil,regret
8n,14,3,20263121,112,transfer_2,3,0.8707015353513476,0.8707015353513476,0.0
8n,14,3,20263121,112,transfer_3,3,0.8707015353513476,0.8707015353513476,0.0
8n,14,3,20263121,112,universal,3,0.8707015353513476,0.8707015353513476,0.0
8n,14,4,20263122,112,leak_g0.2_b0.2,1,0.09299082064905198,,
8n,14,4,20263122,112,leak_g0.5_b0.3,1,0.5439847419524567,,
8n,14,4,20263122,112,leak_g1.0_b0.4,1,0.9367203965642371,,
8n,14,4,20263122,112,ceiling,1,0.8085855675604012,0.8085855675604012,0.0
8n,14,4,20263122,112,exactN,1,0.7713356301392541,0.8085855675604012,0.03724993742114713
8n,14,4,20263122,112,sampledN,1,0.7977613941713747,0.8085855675604012,0.010824173389026526
8n,14,4,20263122,112,transfer_1,1,0.804800065127131,0.8085855675604012,0.003785502433270249
8n,14,4,20263122,112,transfer_2,1,0.8085855675604012,0.8085855675604012,0.0
8n,14,4,20263122,112,transfer_3,1,0.8085855675604012,0.8085855675604012,0.0
8n,14,4,20263122,112,universal,1,0.8085855675604012,0.8085855675604012,0.0
8n,14,4,20263122,112,ceiling,3,0.8589279188778727,0.8589279188778727,0.0
8n,14,4,20263122,112,exactN,3,0.826764400635814,0.8589279188778727,0.03216351824205865
8n,14,4,20263122,112,sampledN,3,0.8137495445227381,0.8589279188778727,0.04517837435513461
8n,14,4,20263122,112,transfer_1,3,0.8589279188778727,0.8589279188778727,0.0
8n,14,4,20263122,112,transfer_2,3,0.8589279188778727,0.8589279188778727,0.0
8n,14,4,20263122,112,transfer_3,3,0.8589279188778727,0.8589279188778727,0.0
8n,14,4,20263122,112,universal,3,0.8589279188778727,0.8589279188778727,0.0
8n,14,5,20263123,112,leak_g0.2_b0.2,1,0.0794215183586928,,
8n,14,5,20263123,112,leak_g0.5_b0.3,1,0.5011368976101471,,
8n,14,5,20263123,112,leak_g1.0_b0.4,1,0.931242133426907,,
8n,14,5,20263123,112,ceiling,1,0.8315364169346393,0.8315364169346393,0.0
8n,14,5,20263123,112,exactN,1,0.8170281900950692,0.8315364169346393,0.014508226839570093
8n,14,5,20263123,112,sampledN,1,0.7866647773691243,0.8315364169346393,0.04487163956551499
8n,14,5,20263123,112,transfer_1,1,0.8242314870490615,0.8315364169346393,0.007304929885577849
8n,14,5,20263123,112,transfer_2,1,0.8315364169346393,0.8315364169346393,0.0
8n,14,5,20263123,112,transfer_3,1,0.8315364169346393,0.8315364169346393,0.0
8n,14,5,20263123,112,universal,1,0.8315364169346393,0.8315364169346393,0.0
8n,14,5,20263123,112,ceiling,3,0.8775255663068334,0.8775255663068334,0.0
8n,14,5,20263123,112,exactN,3,0.8561309875064732,0.8775255663068334,0.02139457880036022
8n,14,5,20263123,112,sampledN,3,0.8269662044161686,0.8775255663068334,0.05055936189066479
8n,14,5,20263123,112,transfer_1,3,0.8775255663068334,0.8775255663068334,0.0
8n,14,5,20263123,112,transfer_2,3,0.8775255663068334,0.8775255663068334,0.0
8n,14,5,20263123,112,transfer_3,3,0.8775255663068334,0.8775255663068334,0.0
8n,14,5,20263123,112,universal,3,0.8775255663068334,0.8775255663068334,0.0
8n,14,6,20263124,112,leak_g0.2_b0.2,1,0.10291978644929421,,
8n,14,6,20263124,112,leak_g0.5_b0.3,1,0.5795317782861974,,
8n,14,6,20263124,112,leak_g1.0_b0.4,1,0.9440532896193033,,
8n,14,6,20263124,112,ceiling,1,0.8181268435930631,0.8181268435930631,0.0
8n,14,6,20263124,112,exactN,1,0.7838627152114641,0.8181268435930631,0.03426412838159898
8n,14,6,20263124,112,sampledN,1,0.7840992732136168,0.8181268435930631,0.03402757037944626
8n,14,6,20263124,112,transfer_1,1,0.8174081006097638,0.8181268435930631,0.0007187429832993253
8n,14,6,20263124,112,transfer_2,1,0.8181268435930631,0.8181268435930631,0.0
8n,14,6,20263124,112,transfer_3,1,0.8181268435930631,0.8181268435930631,0.0
8n,14,6,20263124,112,universal,1,0.8181268435930631,0.8181268435930631,0.0
8n,14,6,20263124,112,ceiling,3,0.875205446223025,0.875205446223025,0.0
8n,14,6,20263124,112,exactN,3,0.7755488246600579,0.875205446223025,0.09965662156296706
8n,14,6,20263124,112,sampledN,3,0.8275511605247865,0.875205446223025,0.047654285698238485
8n,14,6,20263124,112,transfer_1,3,0.875205446223025,0.875205446223025,0.0
8n,14,6,20263124,112,transfer_2,3,0.875205446223025,0.875205446223025,0.0
8n,14,6,20263124,112,transfer_3,3,0.875205446223025,0.875205446223025,0.0
8n,14,6,20263124,112,universal,3,0.875205446223025,0.875205446223025,0.0
8n,14,7,20263125,112,leak_g0.2_b0.2,1,0.08596560621501778,,
8n,14,7,20263125,112,leak_g0.5_b0.3,1,0.52252763519021,,
8n,14,7,20263125,112,leak_g1.0_b0.4,1,0.9323361236328604,,
8n,14,7,20263125,112,ceiling,1,0.8530036359762139,0.8530036359762139,0.0
8n,14,7,20263125,112,exactN,1,0.8121657144743507,0.8530036359762139,0.04083792150186316
8n,14,7,20263125,112,sampledN,1,0.8121657144743507,0.8530036359762139,0.04083792150186316
8n,14,7,20263125,112,transfer_1,1,0.8476525515514147,0.8530036359762139,0.005351084424799146
8n,14,7,20263125,112,transfer_2,1,0.8530036359762139,0.8530036359762139,0.0
8n,14,7,20263125,112,transfer_3,1,0.8530036359762139,0.8530036359762139,0.0
8n,14,7,20263125,112,universal,1,0.8530036359762139,0.8530036359762139,0.0
8n,14,7,20263125,112,ceiling,3,0.9010213424488914,0.9010213424488914,0.0
8n,14,7,20263125,112,exactN,3,0.867957795931372,0.9010213424488914,0.033063546517519415
8n,14,7,20263125,112,sampledN,3,0.8392124151575683,0.9010213424488914,0.061808927291323146
8n,14,7,20263125,112,transfer_1,3,0.9010213424488914,0.9010213424488914,0.0
8n,14,7,20263125,112,transfer_2,3,0.9010213424488914,0.9010213424488914,0.0
8n,14,7,20263125,112,transfer_3,3,0.9010213424488914,0.9010213424488914,0.0
8n,14,7,20263125,112,universal,3,0.9010213424488914,0.9010213424488914,0.0
8n,14,8,20263126,112,leak_g0.2_b0.2,1,0.08869480625175717,,
8n,14,8,20263126,112,leak_g0.5_b0.3,1,0.5322006947570316,,
8n,14,8,20263126,112,leak_g1.0_b0.4,1,0.9314764574317569,,
8n,14,8,20263126,112,ceiling,1,0.8303081267089083,0.8303081267089083,0.0
8n,14,8,20263126,112,exactN,1,0.7908478593196444,0.8303081267089083,0.03946026738926389
8n,14,8,20263126,112,sampledN,1,0.7910565319775701,0.8303081267089083,0.03925159473133821
8n,14,8,20263126,112,transfer_1,1,0.8254541820201284,0.8303081267089083,0.004853944688779865
8n,14,8,20263126,112,transfer_2,1,0.8303081267089083,0.8303081267089083,0.0
8n,14,8,20263126,112,transfer_3,1,0.8303081267089083,0.8303081267089083,0.0
8n,14,8,20263126,112,universal,1,0.8303081267089083,0.8303081267089083,0.0
8n,14,8,20263126,112,ceiling,3,0.8785547100371648,0.8785547100371648,0.0
8n,14,8,20263126,112,exactN,3,0.8456485426688373,0.8785547100371648,0.03290616736832752
8n,14,8,20263126,112,sampledN,3,0.8300115166560645,0.8785547100371648,0.04854319338110025
8n,14,8,20263126,112,transfer_1,3,0.8785547100371648,0.8785547100371648,0.0
8n,14,8,20263126,112,transfer_2,3,0.8785547100371648,0.8785547100371648,0.0
8n,14,8,20263126,112,transfer_3,3,0.8785547100371648,0.8785547100371648,0.0
8n,14,8,20263126,112,universal,3,0.8785547100371648,0.8785547100371648,0.0
8n,14,9,20263127,112,leak_g0.2_b0.2,1,0.08629390264647935,,
8n,14,9,20263127,112,leak_g0.5_b0.3,1,0.5212283387521914,,
8n,14,9,20263127,112,leak_g1.0_b0.4,1,0.9309178332481011,,
8n,14,9,20263127,112,ceiling,1,0.8294325838916684,0.8294325838916684,0.0
8n,14,9,20263127,112,exactN,1,0.7889945165147999,0.8294325838916684,0.0404380673768685
8n,14,9,20263127,112,sampledN,1,0.7889945165147999,0.8294325838916684,0.0404380673768685
8n,14,9,20263127,112,transfer_1,1,0.8231439009292804,0.8294325838916684,0.006288682962388048
8n,14,9,20263127,112,transfer_2,1,0.8294325838916684,0.8294325838916684,0.0
8n,14,9,20263127,112,transfer_3,1,0.8294325838916684,0.8294325838916684,0.0
8n,14,9,20263127,112,universal,1,0.8294325838916684,0.8294325838916684,0.0
8n,14,9,20263127,112,ceiling,3,0.8770628554436479,0.8770628554436479,0.0
8n,14,9,20263127,112,exactN,3,0.8341565849664956,0.8770628554436479,0.04290627047715234
8n,14,9,20263127,112,sampledN,3,0.8341565849664956,0.8770628554436479,0.04290627047715234
8n,14,9,20263127,112,transfer_1,3,0.8770628554436479,0.8770628554436479,0.0
8n,14,9,20263127,112,transfer_2,3,0.8770628554436479,0.8770628554436479,0.0
8n,14,9,20263127,112,transfer_3,3,0.8770628554436479,0.8770628554436479,0.0
8n,14,9,20263127,112,universal,3,0.8770628554436479,0.8770628554436479,0.0
8n,14,10,20263128,112,leak_g0.2_b0.2,1,0.09861795555472898,,
8n,14,10,20263128,112,leak_g0.5_b0.3,1,0.5650268738686964,,
8n,14,10,20263128,112,leak_g1.0_b0.4,1,0.9366942682324199,,
8n,14,10,20263128,112,ceiling,1,0.8137820531703672,0.8137820531703672,0.0
8n,14,10,20263128,112,exactN,1,0.7751770347401009,0.8137820531703672,0.038605018430266314
8n,14,10,20263128,112,sampledN,1,0.7751770347401009,0.8137820531703672,0.038605018430266314
8n,14,10,20263128,112,transfer_1,1,0.8110622277224965,0.8137820531703672,0.0027198254478707495
8n,14,10,20263128,112,transfer_2,1,0.8137820531703672,0.8137820531703672,0.0
8n,14,10,20263128,112,transfer_3,1,0.8137820531703672,0.8137820531703672,0.0
8n,14,10,20263128,112,universal,1,0.8137820531703672,0.8137820531703672,0.0
8n,14,10,20263128,112,ceiling,3,0.870693624617085,0.870693624617085,0.0
8n,14,10,20263128,112,exactN,3,0.7666674274585795,0.870693624617085,0.10402619715850547
8n,14,10,20263128,112,sampledN,3,0.7666674274585795,0.870693624617085,0.10402619715850547
8n,14,10,20263128,112,transfer_1,3,0.870693624617085,0.870693624617085,0.0
8n,14,10,20263128,112,transfer_2,3,0.870693624617085,0.870693624617085,0.0
8n,14,10,20263128,112,transfer_3,3,0.870693624617085,0.870693624617085,0.0
8n,14,10,20263128,112,universal,3,0.870693624617085,0.870693624617085,0.0
