density,n,instance,seed,m,method,p,ar,ceil,regret
4n,14,2,20262120,56,transfer_1,1,0.7881492037322465,0.7881492037322465,0.0
4n,14,2,20262120,56,transfer_2,1,0.7839688761506038,0.7881492037322465,0.004180327581642662
4n,14,2,20262120,56,transfer_3,1,0.7881492037322465,0.7881492037322465,0.0
4n,14,2,20262120,56,universal,1,0.7881492037322465,0.7881492037322465,0.0
4n,14,2,20262120,56,ceiling,3,0.8515417762783771,0.8515417762783771,0.0
4n,14,2,20262120,56,exactN,3,0.805708492574724,0.8515417762783771,0.04583328370365314
4n,14,2,20262120,56,sampledN,3,0.8086271107754422,0.8515417762783771,0.04291466550293488
4n,14,2,20262120,56,transfer_1,3,0.8493677139987144,0.8515417762783771,0.0021740622796627695
4n,14,2,20262120,56,transfer_2,3,0.8515417762783771,0.8515417762783771,0.0
4n,14,2,20262120,56,transfer_3,3,0.8515417762783771,0.8515417762783771,0.0
4n,14,2,20262120,56,universal,3,0.8493677139987144,0.8515417762783771,0.0021740622796627695
4n,14,3,20262121,56,leak_g0.2_b0.2,1,0.0450695634639864,,
4n,14,3,20262121,56,leak_g0.5_b0.3,1,0.32575938383607456,,
4n,14,3,20262121,56,leak_g1.0_b0.4,1,0.8423573708160771,,
4n,14,3,20262121,56,ceiling,1,0.8047116420125456,0.8047116420125456,0.0
4n,14,3,20262121,56,exactN,1,0.7745030273734526,0.8047116420125456,0.03020861463909308
4n,14,3,20262121,56,sampledN,1,0.7745030273734526,0.8047116420125456,0.03020861463909308
4n,14,3,20262121,56,transfer_1,1,0.8047116420125456,0.8047116420125456,0.0
4n,14,3,20262121,56,transfer_2,1,0.7996172162530193,0.8047116420125456,0.005094425759526344
4n,14,3,20262121,56,transfer_3,1,0.8047116420125456,0.8047116420125456,0.0
4n,14,3,20262121,56,universal,1,0.8047116420125456,0.8047116420125456,0.0
4n,14,3,20262121,56,ceiling,3,0.8647888597527452,0.8647888597527452,0.0
4n,14,3,20262121,56,exactN,3,0.8199813834274807,0.8647888597527452,0.044807476325264495
4n,14,3,20262121,56,sampledN,3,0.8048300325233932,0.8647888597527452,0.059958827229351974
