density,n,instance,seed,m,method,p,ar,ceil,regret
4n,16,5,20262323,64,ceiling,3,0.8696351983796422,0.8696351983796422,0.0
4n,16,5,20262323,64,exactN,3,0.8231755585390387,0.8696351983796422,0.04645963984060353
4n,16,5,20262323,64,sampledN,3,0.8069042914899748,0.8696351983796422,0.06273090688966743
4n,16,5,20262323,64,transfer_1,3,0.8678966917831082,0.8696351983796422,0.0017385065965339619
4n,16,5,20262323,64,transfer_2,3,0.8696351983796422,0.8696351983796422,0.0
4n,16,5,20262323,64,transfer_3,3,0.8696351983796422,0.8696351983796422,0.0
4n,16,5,20262323,64,universal,3,0.8678966917831082,0.8696351983796422,0.0017385065965339619
4n,16,6,20262324,64,leak_g0.2_b0.2,1,0.049390039606500916,,
4n,16,6,20262324,64,leak_g0.5_b0.3,1,0.3542235807921694,,
4n,16,6,20262324,64,leak_g1.0_b0.4,1,0.8751115423571078,,
4n,16,6,20262324,64,ceiling,1,0.7580541293712537,0.7580541293712537,0.0
4n,16,6,20262324,64,exactN,1,0.7289237203449503,0.7580541293712537,0.029130409026303372
4n,16,6,20262324,64,sampledN,1,0.72892372034495,0.7580541293712537,0.029130409026303705
4n,16,6,20262324,64,transfer_1,1,0.7580541293712537,0.7580541293712537,0.0
4n,16,6,20262324,64,transfer_2,1,0.7533847985220552,0.7580541293712537,0.004669330849198516
4n,16,6,20262324,64,transfer_3,1,0.7580541293712537,0.7580541293712537,0.0
4n,16,6,20262324,64,universal,1,0.7580541293712537,0.7580541293712537,0.0
4n,16,6,20262324,64,ceiling,3,0.8161193411734564,0.8161193411734564,0.0
4n,16,6,20262324,64,exactN,3,0.7731091613691151,0.8161193411734564,0.0430101798043413
4n,16,6,20262324,64,sampledN,3,0.7579334835430891,0.8161193411734564,0.05818585763036732
4n,16,6,20262324,64,transfer_1,3,0.8148661586865669,0.8161193411734564,0.001253182486889548
4n,16,6,20262324,64,transfer_2,3,0.8161193411734564,0.8161193411734564,0.0
4n,16,6,20262324,64,transfer_3,3,0.8161193411734564,0.8161193411734564,0.0
4n,16,6,20262324,64,universal,3,0.8148661586865669,0.8161193411734564,0.001253182486889548
4n,16,7,20262325,64,leak_g0.2_b0.2,1,0.043985414642749104,,
4n,16,7,20262325,64,leak_g0.5_b0.3,1,0.32341540772692895,,
4n,16,7,20262325,64,leak_g1.0_b0.4,1,0.849117995574986,,
4n,16,7,20262325,64,ceiling,1,0.8034703378012175,0.8034703378012175,0.0
4n,16,7,20262325,64,exactN,1,0.7682557093971706,0.8034703378012175,0.03521462840404688
4n,16,7,20262325,64,sampledN,1,0.7682557093971706,0.8034703378012175,0.03521462840404688
4n,16,7,20262325,64,transfer_1,1,0.8034703378012175,0.8034703378012175,0.0
4n,16,7,20262325,64,transfer_2,1,0.7949221345021196,0.8034703378012175,0.00854820329909789
4n,16,7,20262325,64,transfer_3,1,0.8034703378012175,0.8034703378012175,0.0
4n,16,7,20262325,64,universal,1,0.8034703378012175,0.8034703378012175,0.0
4n,16,7,20262325,64,ceiling,3,0.8630526864195549,0.8630526864195549,0.0
4n,16,7,20262325,64,exactN,3,0.8133823429794631,0.8630526864195549,0.0496703434400918
4n,16,7,20262325,64,sampledN,3,0.8133823429794631,0.8630526864195549,0.0496703434400918
4n,16,7,20262325,64,transfer_1,3,0.8620610863030244,0.8630526864195549,0.0009916001165305444
4n,16,7,20262325,64,transfer_2,3,0.8630526864195549,0.8630526864195549,0.0
4n,16,7,20262325,64,transfer_3,3,0.8630526864195549,0.8630526864195549,0.0
4n,16,7,20262325,64,universal,3,0.8620610863030244,0.8630526864195549,0.0009916001165305444
4n,16,8,20262326,64,leak_g0.2_b0.2,1,0.04903479140178368,,
4n,16,8,20262326,64,leak_g0.5_b0.3,1,0.3520690988033693,,
4n,16,8,20262326,64,leak_g1.0_b0.4,1,0.8721800727056989,,
4n,16,8,20262326,64,ceiling,1,0.8065110715795226,0.8065110715795226,0.0
4n,16,8,20262326,64,exactN,1,0.7733463173357815,0.8065110715795226,0.0331647542437411
4n,16,8,20262326,64,sampledN,1,0.7733463173357815,0.8065110715795226,0.0331647542437411
4n,16,8,20262326,64,transfer_1,1,0.8065110715795226,0.8065110715795226,0.0
4n,16,8,20262326,64,transfer_2,1,0.8000770061241729,0.8065110715795226,0.006434065455349747
4n,16,8,20262326,64,transfer_3,1,0.8065110715795226,0.8065110715795226,0.0
4n,16,8,20262326,64,universal,1,0.8065110715795226,0.8065110715795226,0.0
4n,16,8,20262326,64,ceiling,3,0.8715403895309991,0.8715403895309991,0.0
4n,16,8,20262326,64,exactN,3,0.82109184722255,0.8715403895309991,0.050448542308449085
4n,16,8,20262326,64,sampledN,3,0.8050265612789956,0.8715403895309991,0.06651382825200347
4n,16,8,20262326,64,transfer_1,3,0.8691546760987889,0.8715403895309991,0.002385713432210168
4n,16,8,20262326,64,transfer_2,3,0.8715403895309991,0.8715403895309991,0.0
4n,16,8,20262326,64,transfer_3,3,0.8715403895309991,0.8715403895309991,0.0
4n,16,8,20262326,64,universal,3,0.8691546760987889,0.8715403895309991,0.002385713432210168
4n,16,9,20262327,64,leak_g0.2_b0.2,1,0.04696454480919447,,
4n,16,9,20262327,64,leak_g0.5_b0.3,1,0.3401216595431866,,
4n,16,9,20262327,64,leak_g1.0_b0.4,1,0.8618897290583357,,
4n,16,9,20262327,64,ceiling,1,0.7880901962633797,0.7880901962633797,0.0
4n,16,9,20262327,64,exactN,1,0.7547079594806659,0.7880901962633797,0.03338223678271379
4n,16,9,20262327,64,sampledN,1,0.7491070756390555,0.7880901962633797,0.038983120624324186
4n,16,9,20262327,64,transfer_1,1,0.7880901962633797,0.7880901962633797,0.0
4n,16,9,20262327,64,transfer_2,1,0.7807611099483918,0.7880901962633797,0.007329086314987965
4n,16,9,20262327,64,transfer_3,1,0.7880901962633797,0.7880901962633797,0.0
4n,16,9,20262327,64,universal,1,0.7880901962633797,0.7880901962633797,0.0
4n,16,9,20262327,64,ceiling,3,0.8489365607678092,0.8489365607678092,0.0
4n,16,9,20262327,64,exactN,3,0.8001193036579828,0.8489365607678092,0.04881725710982643
4n,16,9,20262327,64,sampledN,3,0.7854589532184577,0.8489365607678092,0.0634776075493515
4n,16,9,20262327,64,transfer_1,3,0.8480325745337418,0.8489365607678092,0.0009039862340673999
4n,16,9,20262327,64,transfer_2,3,0.8489365607678092,0.8489365607678092,0.0
4n,16,9,20262327,64,transfer_3,3,0.8489365607678092,0.8489365607678092,0.0
4n,16,9,20262327,64,universal,3,0.8480325745337418,0.8489365607678092,0.0009039862340673999
4n,16,10,20262328,64,leak_g0.2_b0.2,1,0.05372847942560813,,
4n,16,10,20262328,64,leak_g0.5_b0.3,1,0.378295555302792,,
4n,16,10,20262328,64,leak_g1.0_b0.4,1,0.8937422738075534,,
4n,16,10,20262328,64,ceiling,1,0.7945776459168844,0.7945776459168844,0.0
4n,16,10,20262328,64,exactN,1,0.7647142583386922,0.7945776459168844,0.02986338757819218
4n,16,10,20262328,64,sampledN,1,0.7584695454815061,0.7945776459168844,0.036108100435378265
4n,16,10,20262328,64,transfer_1,1,0.7945776459168844,0.7945776459168844,0.0
4n,16,10,20262328,64,transfer_2,1,0.7909060234166868,0.7945776459168844,0.003671622500197591
4n,16,10,20262328,64,transfer_3,1,0.7945776459168844,0.7945776459168844,0.0
4n,16,10,20262328,64,universal,1,0.7945776459168844,0.7945776459168844,0.0
4n,16,10,20262328,64,ceiling,3,0.8570044125960753,0.8570044125960753,0.0
4n,16,10,20262328,64,exactN,3,0.8128569822349524,0.8570044125960753,0.0441474303611229
4n,16,10,20262328,64,sampledN,3,0.7959585822627533,0.8570044125960753,0.061045830333322004
4n,16,10,20262328,64,transfer_1,3,0.8544951354039497,0.8570044125960753,0.0025092771921255697
4n,16,10,20262328,64,transfer_2,3,0.8570044125960753,0.8570044125960753,0.0
4n,16,10,20262328,64,transfer_3,3,0.8570044125960753,0.8570044125960753,0.0
4n,16,10,20262328,64,universal,3,0.8544951354039497,0.8570044125960753,0.0025092771921255697
