family,n,instance,seed,m,method,p,ar,ceil,regret
ER(0.5),14,3,20262109,46,transfer_3,1,0.7716745633302432,0.7829355333176409,0.011260969987397673
ER(0.5),14,3,20262109,46,universal,1,0.7638403337796484,0.7829355333176409,0.019095199537992436
ER(0.5),14,3,20262109,46,ceiling,3,0.8821636906318017,0.8821636906318017,0.0
ER(0.5),14,3,20262109,46,binned_exact,3,0.7906036331961106,0.8821636906318017,0.09156005743569107
ER(0.5),14,3,20262109,46,binned_sampled,3,0.7906036331961106,0.8821636906318017,0.09156005743569107
ER(0.5),14,3,20262109,46,transfer_1,3,0.8588996085968942,0.8821636906318017,0.023264082034907485
ER(0.5),14,3,20262109,46,transfer_2,3,0.8418370225308645,0.8821636906318017,0.04032666810093721
ER(0.5),14,3,20262109,46,transfer_3,3,0.831324367497357,0.8821636906318017,0.050839323134444614
ER(0.5),14,3,20262109,46,universal,3,0.7917275147843799,0.8821636906318017,0.0904361758474218
ER(0.5),14,4,20262110,44,ceiling,1,0.8129128210599991,0.8129128210599991,0.0
ER(0.5),14,4,20262110,44,binned_exact,1,0.7637831299982255,0.8129128210599991,0.04912969106177356
ER(0.5),14,4,20262110,44,binned_sampled,1,0.765788320394317,0.8129128210599991,0.04712450066568208
ER(0.5),14,4,20262110,44,transfer_1,1,0.8097026130834273,0.8129128210599991,0.0032102079765717884
ER(0.5),14,4,20262110,44,transfer_2,1,0.8032358176786847,0.8129128210599991,0.009677003381314386
ER(0.5),14,4,20262110,44,transfer_3,1,0.8097026130834273,0.8129128210599991,0.0032102079765717884
ER(0.5),14,4,20262110,44,universal,1,0.8032358176786847,0.8129128210599991,0.009677003381314386
ER(0.5),14,4,20262110,44,ceiling,3,0.9072557925944221,0.9072557925944221,0.0
ER(0.5),14,4,20262110,44,binned_exact,3,0.8125083412230191,0.9072557925944221,0.09474745137140306
ER(0.5),14,4,20262110,44,binned_sampled,3,0.8309345693160841,0.9072557925944221,0.07632122327833801
ER(0.5),14,4,20262110,44,transfer_1,3,0.8951780774757462,0.9072557925944221,0.012077715118675947
ER(0.5),14,4,20262110,44,transfer_2,3,0.8890465140379802,0.9072557925944221,0.018209278556441943
ER(0.5),14,4,20262110,44,transfer_3,3,0.8916295982383249,0.9072557925944221,0.015626194356097245
ER(0.5),14,4,20262110,44,universal,3,0.8631084767291449,0.9072557925944221,0.044147315865277204
ER(0.5),14,5,20262111,42,ceiling,1,0.8180326465466986,0.8180326465466986,0.0
ER(0.5),14,5,20262111,42,binned_exact,1,0.782546127217345,0.8180326465466986,0.03548651932935365
ER(0.5),14,5,20262111,42,binned_sampled,1,0.782546127217345,0.8180326465466986,0.03548651932935365
ER(0.5),14,5,20262111,42,transfer_1,1,0.809591364382559,0.8180326465466986,0.00844128216413964
ER(0.5),14,5,20262111,42,transfer_2,1,0.8013503908884673,0.8180326465466986,0.016682255658231337
ER(0.5),14,5,20262111,42,transfer_3,1,0.809591364382559,0.8180326465466986,0.00844128216413964
ER(0.5),14,5,20262111,42,universal,1,0.8013503908884673,0.8180326465466986,0.016682255658231337
ER(0.5),14,5,20262111,42,ceiling,3,0.9033713264541738,0.9033713264541738,0.0
ER(0.5),14,5,20262111,42,binned_exact,3,0.8303299635977152,0.9033713264541738,0.07304136285645868
ER(0.5),14,5,20262111,42,binned_sampled,3,0.8537241311719665,0.9033713264541738,0.04964719528220729
ER(0.5),14,5,20262111,42,transfer_1,3,0.8944063984238567,0.9033713264541738,0.00896492803031712
ER(0.5),14,5,20262111,42,transfer_2,3,0.8797338062411215,0.9033713264541738,0.02363752021305232
ER(0.5),14,5,20262111,42,transfer_3,3,0.8707377942619372,0.9033713264541738,0.032633532192236636
ER(0.5),14,5,20262111,42,universal,3,0.8387664385186391,0.9033713264541738,0.06460488793553476
ER(0.5),14,6,20262112,53,ceiling,1,0.8085188620971405,0.8085188620971405,0.0
ER(0.5),14,6,20262112,53,binned_exact,1,0.7787743778414669,0.8085188620971405,0.029744484255673664
ER(0.5),14,6,20262112,53,binned_sampled,1,0.7826903533538343,0.8085188620971405,0.025828508743306222
ER(0.5),14,6,20262112,53,transfer_1,1,0.7945788569566246,0.8085188620971405,0.013940005140515965
ER(0.5),14,6,20262112,53,transfer_2,1,0.7854518572571083,0.8085188620971405,0.023067004840032213
ER(0.5),14,6,20262112,53,transfer_3,1,0.7945788569566246,0.8085188620971405,0.013940005140515965
