family,n,inst,m,p,regret,bound,ratio,crude_bound,leakage_bound,argmax_moved
ER(0.25),12,2,17,3,0.057341,0.458407,7.99,4.72301,1.030495,1
ER(0.25),12,3,15,1,0.083595,0.803886,9.62,4.657259,1.043322,1
ER(0.25),12,3,15,3,0.053773,0.572069,10.64,4.582076,1.377835,1
ER(0.25),12,4,9,1,0.060661,0.588083,9.69,3.681608,0.82254,1
ER(0.25),12,4,9,3,0.021567,0.423642,19.64,3.386286,0.978762,1
ER(0.25),12,5,11,1,0.061494,0.493622,8.03,3.60402,0.71169,1
ER(0.25),12,5,11,3,0.013204,0.263484,19.95,2.909488,0.691735,1
ER(0.25),12,6,19,1,0.064236,0.601401,9.36,4.668968,0.813771,1
ER(0.25),12,6,19,3,0.067386,0.638026,9.47,5.564724,1.463806,1
ER(0.25),12,7,14,1,0.02601,0.459395,17.66,3.522991,0.680737,1
ER(0.25),12,7,14,3,0.051133,0.583944,11.42,4.565003,1.40796,1
ER(0.25),12,8,20,1,0.067605,0.59279,8.77,4.98058,0.795376,1
ER(0.25),12,8,20,3,0.039068,0.441169,11.29,5.328304,1.072237,1
ER(0.25),12,9,18,1,0.059062,0.619064,10.48,4.480659,0.828841,1
ER(0.25),12,9,18,3,0.08981,0.787144,8.76,5.844514,1.709784,1
ER(0.25),12,10,11,1,0.077555,0.639551,8.25,3.78673,0.89019,1
ER(0.25),12,10,11,3,0.026356,0.518354,19.67,4.072374,1.36026,1
ER(0.25),14,1,22,1,0.030491,0.384522,12.61,4.142409,0.551238,1
ER(0.25),14,1,22,3,0.028406,0.417055,14.68,5.291101,0.988359,1
ER(0.25),14,2,24,1,0.067287,0.577843,8.59,4.789879,0.765451,1
ER(0.25),14,2,24,3,0.070009,0.667281,9.53,6.047008,1.445406,1
ER(0.25),14,3,23,1,0.061929,0.64089,10.35,5.162661,0.824821,1
ER(0.25),14,3,23,3,0.094194,0.806446,8.56,6.253645,1.674404,1
ER(0.25),14,4,23,1,0.080925,0.638975,7.9,5.120391,0.813171,1
ER(0.25),14,4,23,3,0.047471,0.605088,12.75,5.810204,1.312688,1
ER(0.25),14,5,26,1,0.061245,0.604231,9.87,5.28167,0.804589,1
ER(0.25),14,5,26,3,0.031845,0.392341,12.32,5.482674,0.949974,1
ER(0.25),14,6,24,1,0.057852,0.57575,9.95,5.375158,0.754453,1
ER(0.25),14,6,24,3,0.029872,0.486436,16.28,5.700088,1.133479,1
