family,n,instance,seed,m,ceil_p1,ar_emp_p1,ar_paper_p1,sum_leakage_p1,overlap_p1,distance_p1,ceil_p3,ar_emp_p3,ar_paper_p3,sum_leakage_p3,overlap_p3,distance_p3
BA(k=2),14,27,20292038,24,0.8153525918696446,0.7829918240284756,0.8039845024635068,0.2181934696797291,0.9523916097891205,0.2181934696797291,0.9090279928270996,0.8290711783551241,0.8812952166717118,0.364704929116009,0.9264060544248233,0.31518399321973944
BA(k=2),14,28,20292039,24,0.7998573452291534,0.7645843337392589,0.7869790819108904,0.18103718645628028,0.9672255371199991,0.18103718645628028,0.8935035882911374,0.8198651442735351,0.8653189886323646,0.3590594037986581,0.9344611891581998,0.2902637526872814
BA(k=2),14,29,20292040,24,0.7991613943767994,0.7635720759299228,0.787683958138628,0.18199149666408368,0.9668790951419635,0.18199149666408368,0.8939187741781134,0.8195482976023046,0.8697534036598554,0.35599786009074486,0.9361515969490174,0.2857849667765691
BA(k=2),14,30,20292041,24,0.7903683359183203,0.7603088209616715,0.7745785544632076,0.1784273208148266,0.9681636911868514,0.1784273208148266,0.8722398861236281,0.8103112466913236,0.8468784168556128,0.3588177584856294,0.933656697265826,0.2931579747082845
BA(k=4),12,1,20301812,32,0.7588818141540582,0.7296901253495858,0.747865628259394,0.13646702616262013,0.9813767507703293,0.13646702616262013,0.8545147765384286,0.7747106851767491,0.764416837895989,0.35407382438388313,0.9348784193610592,0.2912428587646756
BA(k=4),12,2,20301813,32,0.7802359456218012,0.7563942247314294,0.7703993303707275,0.14102527440548224,0.9801118719788606,0.14102527440548224,0.8773474476415123,0.798958261775902,0.7879017366599405,0.3589169491227751,0.9331259680613414,0.29482053061323954
BA(k=4),12,3,20301814,32,0.7847954704926309,0.7580130974975635,0.7741312946069728,0.1334653449907835,0.9821870016864901,0.1334653449907835,0.8703278910867646,0.800294244044183,0.784379869472127,0.3411627300467168,0.9383713001072475,0.2845346666008286
BA(k=4),12,4,20301815,32,0.790761494214342,0.7604558277152461,0.7798861939273575,0.14308343846389124,0.9795271296373492,0.14308343846389124,0.8914248948242672,0.810703569503522,0.8075627984113666,0.36447640425974054,0.9320980724767228,0.2958737198804024
BA(k=4),12,5,20301816,32,0.7978343215294698,0.7662184355601177,0.785344577917841,0.15354127072618554,0.9764250781837853,0.15354127072618554,0.897432346184834,0.8144853717919318,0.8085697740003126,0.36250846596789416,0.9319135251811178,0.2979128010630755
BA(k=4),12,6,20301817,32,0.7846015330589692,0.758055684949427,0.7740693924183173,0.13552952230583662,0.9816317485835527,0.13552952230583662,0.8691116521306506,0.8005126383473797,0.784739326356784,0.34499944473407285,0.9372258524792011,0.2869030048754689
BA(k=4),12,7,20301818,32,0.7919103693167523,0.760588508940272,0.7803506484892891,0.13966063139744847,0.9804949080376681,0.13966063139744847,0.8963436911678319,0.8099346347675901,0.8045640591881499,0.35901437828586685,0.9335359172074199,0.29371946167015955
BA(k=4),12,8,20301819,32,0.817060732386073,0.7902866902201069,0.8061001297757657,0.1372093165506023,0.9811736034517148,0.1372093165506023,0.9046805075370947,0.8366872191850355,0.8181252538327207,0.33599709450874865,0.9427890376190858,0.2670731614794753
BA(k=4),12,9,20301820,32,0.7830831049152849,0.7574144655650258,0.7725026768821964,0.13484087154211488,0.9818179393617652,0.13484087154211488,0.8638693872603794,0.801105261951926,0.7805321367089647,0.3318403302227049,0.9438803428742415,0.26498356918558824
BA(k=4),12,10,20301821,32,0.7951701850644882,0.7651580644282525,0.7832697348595782,0.15136876024941684,0.9770874984205529,0.15136876024941684,0.8847307314350695,0.8113893327407752,0.8032629439856954,0.34343557244468426,0.9385039480691191,0.2832257012338689
BA(k=4),12,11,20301822,32,0.8130093365798857,0.7887471115637419,0.8024339808950047,0.13552264058108532,0.9816336138899316,0.13552264058108532,0.8958741355749898,0.8327082852487567,0.8103423871042387,0.3307169940830047,0.9443751561313704,0.26368105170717737
BA(k=4),12,12,20301823,32,0.7921893411033544,0.7607715134658504,0.7805037026279832,0.13392958325022164,0.9820628667304263,0.13392958325022164,0.876708111533885,0.8073365061105037,0.7944419031237892,0.3436316546776956,0.9376272316000761,0.28616675315477774
BA(k=4),12,13,20301824,32,0.8514040541966298,0.82502751653135,0.8393756775870455,0.12079664069734111,0.985408171596238,0.12079664069734111,0.911271328513163,0.8666660758038571,0.8271806636084809,0.29382384807699846,0.9545286261271764,0.24095905341250284
BA(k=4),12,14,20301825,32,0.8515611527532033,0.8255872719823164,0.840487874518552,0.13027849471709185,0.9830275138142511,0.13027849471709185,0.923810563155903,0.8696837060427953,0.8379415210636594,0.3113738723927659,0.9498947751130647,0.2513965035983164
BA(k=4),12,15,20301826,32,0.8151212447103448,0.7895692850599001,0.8043697116207223,0.1389358147769617,0.9806968393722635,0.1389358147769617,0.9052002474972135,0.8355183137132773,0.8168677662593925,0.33841725189643906,0.9423012939026466,0.26769905979731007
BA(k=4),12,16,20301827,32,0.8511128909850038,0.8252868285650705,0.8403113626724469,0.13918736065669035,0.9806268786334235,0.13918736065669035,0.9369259919547843,0.8721329281821514,0.8506674826854234,0.33486758602205424,0.9431260933936064,0.26613528834423616
BA(k=4),12,17,20301828,32,0.853465023563709,0.8256236132715583,0.8413773647414948,0.13234972917062968,0.9824835491884608,0.13234972917062968,0.9327993490687728,0.8716802936567883,0.8455904198522938,0.32565218510741534,0.9451536702860084,0.2628827185583667
BA(k=4),12,18,20301829,32,0.8149149964818,0.789579943572444,0.8042927059809454,0.13875051421021065,0.980748294806405,0.13875051421021065,0.9047880003518839,0.835263412322788,0.8157357526698672,0.3362603181335615,0.9428796511807995,0.26643026677183335
BA(k=4),12,19,20301830,32,0.7959200420459484,0.7618693453971241,0.783629999183348,0.14327037786903724,0.9794735988252663,0.14327037786903724,0.9106677723980963,0.8158624788285737,0.8177348144500088,0.3688926753477779,0.9306648830493612,0.29877261682665573
BA(k=4),12,20,20301831,32,0.8188849294332706,0.791014850271705,0.8077144221915159,0.13222633593820407,0.982516196084358,0.13222633593820407,0.8921701602699749,0.83633098982104,0.8133478832350348,0.3216106882948707,0.9467905194886782,0.25867450237254447
BA(k=4),12,21,20301832,32,0.8467913089531358,0.8232766827254843,0.8355190629155693,0.13088921382071242,0.982868013705397,0.13088921382071242,0.9198775001165148,0.8652769200785397,0.8322355396174976,0.31703325417114087,0.9477189151212623,0.2572588003007927
BA(k=4),12,22,20301833,32,0.7851979485009544,0.7585057355977091,0.7751860722126439,0.1425684171531933,0.9796742464304314,0.1425684171531933,0.8887653282017344,0.8046012692001551,0.7963259133673519,0.3625680710099112,0.9321719778872328,0.2965048410856766
BA(k=4),12,23,20301834,32,0.8154042129951499,0.7895438381784968,0.804379182825423,0.13309992326148784,0.9822844104277871,0.13309992326148784,0.8920262303131269,0.8335438367666169,0.8090387145643262,0.31925626850142474,0.9477508379033444,0.256036800675988
BA(k=4),12,24,20301835,32,0.8220716977966325,0.792662896918415,0.8109807600286081,0.129625296089391,0.9831972826137394,0.129625296089391,0.905046033339948,0.8371058162705379,0.8166531843922695,0.3374971566033245,0.9391384314537461,0.2833828291297626
BA(k=4),12,25,20301836,32,0.8215977841271276,0.7924419664488999,0.810701970771882,0.1294057566292172,0.9832541501512225,0.1294057566292172,0.8959133657500336,0.8362061720614671,0.8149870536805288,0.325094804334096,0.9436634801235518,0.27259409515413024
BA(k=4),12,26,20301837,32,0.8189005091883608,0.7911416162209932,0.8077276020941112,0.12967353994039402,0.9831847730393312,0.12967353994039402,0.8953631635287495,0.8360481741644188,0.810452611589439,0.3181976226176716,0.9478390586600893,0.2562912184163017
BA(k=4),12,27,20301838,32,0.8131873059919086,0.7889173252190276,0.8025224839543307,0.13500278945159822,0.9817742468402898,0.13500278945159822,0.8942978795782274,0.831969615933558,0.8058538713593691,0.3273918374100869,0.9450360839740046,0.2625938782927213
BA(k=4),12,28,20301839,32,0.8095218671737486,0.7872720030330664,0.7990526390365763,0.13634075173439444,0.981411199416502,0.13634075173439444,0.8903172330338565,0.8295212086815045,0.805446336407659,0.33099696317554805,0.9440112129653067,0.26469236933301554
BA(k=4),12,29,20301840,32,0.8311334738646302,0.7988121664903529,0.8180867723747742,0.1486381315542307,0.9779067058480668,0.1486381315542307,0.9201775415803498,0.846498617842195,0.8353331193809904,0.34436666711263786,0.9376190287607472,0.28610152527499394
BA(k=4),12,30,20301841,32,0.7640125544458456,0.7316386276217506,0.7523545070566016,0.13787972272414395,0.9809891820615144,0.13787972272414395,0.8598898275863108,0.7805075820271367,0.7749002580294493,0.3559083564519304,0.934422521192015,0.29202402902256885
BA(k=4),14,1,20302012,40,0.8408245738361163,0.8123913581695079,0.8276605622144115,0.16375271365748048,0.9731850487698187,0.16375271365748048,0.9296976745738644,0.8391616118082631,0.8612522737664141,0.23734831027236142,0.9699882553931434,0.19605680714264642
BA(k=4),14,2,20302013,40,0.8114102791842809,0.7842024333101112,0.7991129700872819,0.17000562300832875,0.9710980881455503,0.17000562300832875,0.8982918641447273,0.8106278752538553,0.8363128305106615,0.2476587932302589,0.9677111381991045,0.20264622487208284
BA(k=4),14,3,20302014,40,0.8066305944403441,0.7820221665328762,0.7928292239104394,0.16639831204351704,0.9723116017490703,0.16639831204351704,0.888980016138774,0.8064383130061548,0.826084506574862,0.24212639200472225,0.9687592275056247,0.2000079872120718
BA(k=4),14,4,20302015,40,0.8370296059342613,0.8109521882178764,0.8234248567198227,0.16692142834179782,0.9721372367603296,0.16692142834179782,0.922880896834707,0.8368748129208192,0.8583188235553428,0.24238577549587725,0.9687689225585414,0.19984758499179833
BA(k=4),14,5,20302016,40,0.8372756327720092,0.8111597617499596,0.8233624697989477,0.16561606862888695,0.9725713178119092,0.16561606862888695,0.9204886247277783,0.8368291892517572,0.853079413690949,0.23805511837260004,0.9698769888819905,0.19630900612594426
BA(k=4),14,6,20302017,40,0.801958063263584,0.7644799963082304,0.7941787756279074,0.1671450658141137,0.9720625269739993,0.1671450658141137,0.901342162886445,0.821928731178082,0.8394185419517506,0.41710731916315186,0.9131443857206258,0.334042527339724
BA(k=4),14,7,20302018,40,0.8319349924640519,0.8088442065807124,0.8162685267819823,0.16913754901791372,0.9713924895122109,0.16913754901791372,0.9178620394213123,0.8333811522529094,0.8513511096390207,0.2438030429378911,0.9683764681970716,0.20114454559576064
BA(k=4),14,8,20302019,40,0.830593175600009,0.8084489615250668,0.8133598521986342,0.1647215118389053,0.9728668235375129,0.1647215118389053,0.9080447566508669,0.8316579152410483,0.8387785103534784,0.23613343912067247,0.9700639658114297,0.19621244235695603
BA(k=4),14,9,20302020,40,0.7802197921509247,0.7563432862743272,0.7672182831075841,0.16630600888291278,0.9723423114094402,0.16630600888291278,0.8691848292374423,0.7802301476972647,0.8026122925203926,0.2457073226669239,0.9678609649708839,0.20281017000878934
BA(k=4),14,10,20302021,40,0.7891657204400447,0.7601213308964734,0.7783992721085408,0.17012303634908008,0.9710581525033681,0.17012303634908008,0.8886648839082347,0.7873919000487608,0.8218626143281818,0.2532462130168567,0.9663568388230684,0.20660436542166064
BA(k=4),14,11,20302022,40,0.8375632411452322,0.8110151828067806,0.8238670241989299,0.1638368368696178,0.9731574908845567,0.1638368368696178,0.9200556677787928,0.8365522949124929,0.8542504580534436,0.23822040868389274,0.9697255592719248,0.19702824087225146
BA(k=4),14,12,20302023,40,0.8103730529096428,0.7836403446431616,0.7975937285106602,0.16830037650113155,0.9716749832695819,0.16830037650113155,0.8973427633839643,0.8095601538589223,0.8360995193890328,0.24894264818113243,0.9671715439236651,0.20467987943126872
BA(k=4),14,13,20302024,40,0.8473468234631805,0.8147996068071695,0.8352312825047868,0.15681488254781564,0.9754090926115183,0.15681488254781564,0.9251269217717498,0.8421322655798341,0.8570094393936741,0.22949833744986298,0.9718091480575165,0.1903264979708048
BA(k=4),14,14,20302025,40,0.8161604502067575,0.7860389363285496,0.8043193795701196,0.16330760035045647,0.9733306276677763,0.16330760035045647,0.9031265360264152,0.8128501854592451,0.8361099105170158,0.24401403746680353,0.9682627225821667,0.20158877217710527
BA(k=4),14,15,20302026,40,0.8092275493787602,0.7831865266540248,0.7958974621516562,0.16583607083247975,0.9724983976108428,0.16583607083247975,0.8953955317366558,0.808282258762046,0.8289496679736552,0.24139869740654418,0.9689965291556075,0.19918196316585204
BA(k=4),14,16,20302027,40,0.8364112856817403,0.810556598598801,0.8223651577003253,0.165207949853015,0.9727063333053587,0.165207949853015,0.9172327434420582,0.8358171534936937,0.8516281532378189,0.23941603016651175,0.9694102860924468,0.1980424720652585
BA(k=4),14,17,20302028,40,0.7868895139554676,0.7594189802004294,0.7761120427207014,0.1736244574103996,0.9698545477889491,0.1736244574103996,0.8840354715296852,0.7864531070167693,0.8194715383839508,0.25798460374192234,0.9652121222439098,0.209879737023144
BA(k=4),14,18,20302029,40,0.8129812127061646,0.7851800334904453,0.8010941001649694,0.16747860392485464,0.971950917227381,0.16747860392485464,0.9130642846015758,0.8119866880005155,0.8418380221458565,0.24791950644296168,0.9675864731728671,0.20313202333728814
BA(k=4),14,19,20302030,40,0.8377071284887777,0.8112546319820729,0.8234150070834965,0.16114911850534516,0.9740309616049522,0.16114911850534516,0.9199647663386635,0.8364160753916356,0.8497470388330812,0.23780439950088011,0.9695612520057102,0.1979310188255987
BA(k=4),14,20,20302031,40,0.7913300730146012,0.7607131656365314,0.7808562736684986,0.16680420422330713,0.9721763574534296,0.16680420422330713,0.8810128318513328,0.7879071368581656,0.817254282524024,0.24835705600449615,0.9674944470926838,0.20341185847481752
BA(k=4),14,21,20302032,40,0.8235934363100157,0.7886608861983205,0.8138414275475568,0.16377981388425203,0.9731761725640464,0.16377981388425203,0.918682654478778,0.8428529237054841,0.8527875142968069,0.4095292851436666,0.9149075877253424,0.33182706480580015
BA(k=4),14,22,20302033,40,0.7764191281883494,0.7551113251752873,0.7625581089452651,0.17033751134720124,0.9709851322280421,0.17033751134720124,0.8613543189388466,0.7784372209165177,0.799335773684498,0.24716337449226167,0.9676486329868068,0.20318519875706195
BA(k=4),14,23,20302034,40,0.8121833297721119,0.7842252847324926,0.7998604996310301,0.16880636424817236,0.9715044113893079,0.16880636424817236,0.900787166335933,0.8107582544550772,0.8392486529815306,0.24743511720725644,0.9676626383133441,0.20297237480848532
BA(k=4),14,24,20302035,40,0.8148116583454231,0.7855472799184677,0.8025099722445048,0.16249829102753,0.9735943054131331,0.16249829102753,0.9030041177508772,0.8118256772816451,0.8328061440791249,0.24231858663225936,0.968714908006151,0.20016796307320417
BA(k=4),14,25,20302036,40,0.7596960433088001,0.7335801062426147,0.7481402693499889,0.17007847386032215,0.9710733127293479,0.17007847386032215,0.863483094831872,0.7587465120037152,0.7921610464007331,0.25679979654045954,0.9652775748274139,0.21008055969818665
BA(k=4),14,26,20302037,40,0.8397536482824935,0.8120568057185844,0.8267365061876052,0.16596998381597378,0.972453964472129,0.16596998381597378,0.9247169707682611,0.8385559588055295,0.859857108527366,0.24116338807399007,0.9691207379986411,0.1986666311250684
BA(k=4),14,27,20302038,40,0.8169626008620497,0.7864555935527934,0.8055326131799053,0.15983630295130663,0.974452356258858,0.15983630295130663,0.8985552549508117,0.8131646950932494,0.8334453088795732,0.23484339316982478,0.9707300693948795,0.1934674684464172
BA(k=4),14,28,20302039,40,0.7853670561984845,0.7583793448334871,0.7739229619197668,0.171548415749827,0.9705711410537301,0.171548415749827,0.8807929737295245,0.7845165008554799,0.8150185709955913,0.25491839591211496,0.9658424903074456,0.20831460239090108
BA(k=4),14,29,20302040,40,0.8479061487106987,0.8152239013276024,0.8362096252424479,0.15722540019316977,0.9752801735340995,0.15722540019316977,0.9236486228063071,0.8650144798081294,0.8581574585773082,0.3816629970125013,0.9245545544064696,0.31374230091790134
BA(k=4),14,30,20302041,40,0.8325964018784902,0.809261599476177,0.81735475070783,0.16753095501364823,0.971933379112216,0.16753095501364823,0.9176202031499388,0.8338452396052333,0.8512464124973995,0.24210449132995132,0.9687833042446723,0.1999321560519412
