family,n,instance,seed,m,ceil_p1,ar_paper_raw_p1,ar_paper_strict_p1,ar_paper_loose_p1,frac_sane_p1,ceil_p3,ar_paper_raw_p3,ar_paper_strict_p3,ar_paper_loose_p3,frac_sane_p3
ER(0.5),14,3,20272014,47,0.8004775169660114,0.5754959284969512,0.6899367847596006,0.5754959284969512,0.80625,0.8834524243886568,0.7102807149425526,0.6983169521183551,0.7102807149425526,0.95751953125
ER(0.5),14,4,20272015,42,0.8245293656269178,0.8190196708492439,0.7288272157839415,0.8093031916615018,0.64875,0.9084022887862953,0.8406030789336794,0.7469793336740008,0.7618245248406414,0.138916015625
ER(0.5),14,5,20272016,40,0.7521891273631569,0.745005041075884,0.6518984667103062,0.7107392677650517,0.5375,0.8694375958291976,0.7888298932308537,0.6238227761183515,0.6107330365141963,0.020263671875
ER(0.5),14,6,20272017,52,0.871041803678108,0.5091081117546089,0.8461598133708014,0.8031546698857378,0.46875,0.9348804496093718,0.7785049926349096,0.5893324387657327,0.7920080696673826,0.1064453125
ER(0.5),14,7,20272018,50,0.8419315159739391,0.5206965761148181,0.794295245686398,0.7035838007384106,0.57625,0.9132775713018914,0.7517334131950354,0.7548115162174827,0.6678677837211547,0.562744140625
ER(0.5),14,8,20272019,49,0.8082921037570993,0.5208653353512064,0.7417203217042236,0.6118043739961213,0.64125,0.8927882282129495,0.7193333515601879,0.7512193988382682,0.7231254906611739,0.7890625
ER(0.5),14,9,20272020,35,0.8414147658518704,0.8310321278826188,0.5923329147366455,0.7216153110528117,0.325,0.9290866395516368,0.8767494833710827,0.6852143447776017,0.6852143447776017,0.0
ER(0.5),14,10,20272021,45,0.8609657491262915,0.8525279852798202,0.8483353515056368,0.8525279852798202,0.9825,0.9307555018812391,0.8747025292527811,0.890073916465642,0.8747025292527811,0.810791015625
ER(0.5),14,11,20272022,49,0.8328785328471061,0.5371678973596272,0.7635599705760743,0.630029056895329,0.64125,0.9126221341533626,0.7405012758199786,0.7737881120641271,0.7438450164817778,0.7890625
ER(0.5),14,12,20272023,47,0.8239742354301771,0.5925655079512628,0.7107710155480665,0.5925655079512628,0.80625,0.9021955307520492,0.7317921290753739,0.7191163910867877,0.7317921290753739,0.95751953125
ER(0.5),14,13,20272024,44,0.832515057368888,0.8239906976117752,0.805076251045055,0.8239906976117752,0.878125,0.9135133838959494,0.8388231944115575,0.8553746577734742,0.871451880137101,0.479248046875
ER(0.5),14,14,20272025,56,0.828633670270751,0.4859881699622709,0.8237555152991454,0.8234049547801948,0.259375,0.8948233720726211,0.7691200909180064,0.7182804165056155,0.7182804165056155,0.0
ER(0.5),14,15,20272026,45,0.8760985949458712,0.8640815518177655,0.8620261594114625,0.8640815518177655,0.9825,0.9539873937243694,0.899255828653868,0.915174556170723,0.899255828653868,0.810791015625
ER(0.5),14,16,20272027,48,0.8405072871356277,0.552846108722534,0.752511674435286,0.552846108722534,0.71125,0.9219577939833509,0.7473491649177397,0.7887645622377116,0.738531546522615,0.8935546875
ER(0.5),14,17,20272028,49,0.8292552615645715,0.5332933078954251,0.7633399855817077,0.6289767504171476,0.64125,0.9054967848961708,0.7404423872109129,0.7675545417526808,0.7452729241636467,0.7890625
