family,n,inst,m,p,ceiling,ar_emp,regret,argmax_disp,robust_frac,overlap
BA(k=2),12,9,20,1,0.785087,0.763185,0.021902,0.09245,0.01875,0.96054
BA(k=2),12,9,20,3,0.871211,0.805423,0.065789,0.327327,0.005127,0.949125
BA(k=2),12,10,20,1,0.760134,0.729815,0.030318,0.110286,0.013125,0.959936
BA(k=2),12,10,20,3,0.863135,0.7736,0.089535,0.446071,0.004395,0.934526
BA(k=2),14,1,24,1,0.774731,0.733042,0.041689,0.110286,0.013125,0.966991
BA(k=2),14,1,24,3,0.878564,0.791274,0.08729,0.428571,0.00708,0.917424
BA(k=2),14,2,24,1,0.760801,0.726943,0.033857,0.110286,0.0175,0.962666
BA(k=2),14,2,24,3,0.868262,0.789982,0.07828,0.188982,0.008057,0.928392
BA(k=2),14,3,24,1,0.803716,0.765979,0.037737,0.110286,0.015625,0.969745
BA(k=2),14,3,24,3,0.89081,0.820191,0.070619,0.327327,0.005615,0.93345
BA(k=2),14,4,24,1,0.803383,0.765835,0.037547,0.110286,0.015625,0.969571
BA(k=2),14,4,24,3,0.89529,0.820084,0.075206,0.327327,0.004883,0.934235
BA(k=2),14,5,24,1,0.817184,0.771842,0.045342,0.110286,0.013125,0.967563
BA(k=2),14,5,24,3,0.91672,0.833869,0.082851,0.428571,0.005371,0.92092
BA(k=2),14,6,24,1,0.734673,0.6965,0.038172,0.110286,0.01375,0.968416
BA(k=2),14,6,24,3,0.839505,0.749899,0.089606,0.446071,0.004883,0.919808
BA(k=2),14,7,24,1,0.773695,0.731289,0.042405,0.128205,0.013125,0.966491
BA(k=2),14,7,24,3,0.880303,0.790042,0.09026,0.428571,0.006592,0.920844
BA(k=2),14,8,24,1,0.802907,0.766255,0.036652,0.110286,0.014375,0.969834
BA(k=2),14,8,24,3,0.893369,0.820255,0.073114,0.327327,0.005371,0.934064
BA(k=2),14,9,24,1,0.776151,0.732914,0.043238,0.128205,0.01375,0.967782
BA(k=2),14,9,24,3,0.866993,0.791529,0.075464,0.397697,0.006836,0.923728
BA(k=2),14,10,24,1,0.799887,0.764711,0.035175,0.110286,0.015625,0.967009
BA(k=2),14,10,24,3,0.891638,0.819857,0.071782,0.327327,0.006592,0.93325
BA(k=4),12,1,32,1,0.758882,0.72969,0.029192,0.09245,0.01375,0.981377
BA(k=4),12,1,32,3,0.854515,0.774711,0.079804,0.384655,0.004395,0.934878
BA(k=4),12,2,32,1,0.780236,0.756394,0.023842,0.090655,0.015625,0.980112
BA(k=4),12,2,32,3,0.877347,0.798958,0.078389,0.349927,0.006592,0.933126
BA(k=4),12,3,32,1,0.784795,0.758013,0.026782,0.090655,0.01625,0.982187
BA(k=4),12,3,32,3,0.870328,0.800294,0.070034,0.327327,0.008057,0.938371
BA(k=4),12,4,32,1,0.790761,0.760456,0.030306,0.09245,0.01375,0.979527
BA(k=4),12,4,32,3,0.891425,0.810704,0.080721,0.357143,0.007568,0.932098
BA(k=4),12,5,32,1,0.797834,0.766218,0.031616,0.090655,0.0125,0.976425
BA(k=4),12,5,32,3,0.897432,0.814485,0.082947,0.384655,0.004883,0.931914
BA(k=4),12,6,32,1,0.784602,0.758056,0.026546,0.090655,0.015625,0.981632
BA(k=4),12,6,32,3,0.869112,0.800513,0.068599,0.327327,0.008545,0.937226
BA(k=4),12,7,32,1,0.79191,0.760589,0.031322,0.09245,0.014375,0.980495
BA(k=4),12,7,32,3,0.896344,0.809935,0.086409,0.349927,0.005615,0.933536
BA(k=4),12,8,32,1,0.817061,0.790287,0.026774,0.090655,0.015,0.981174
BA(k=4),12,8,32,3,0.904681,0.836687,0.067993,0.276642,0.007324,0.942789
BA(k=4),12,9,32,1,0.783083,0.757414,0.025669,0.090655,0.015625,0.981818
BA(k=4),12,9,32,3,0.863869,0.801105,0.062764,0.276642,0.008789,0.94388
BA(k=4),12,10,32,1,0.79517,0.765158,0.030012,0.090655,0.01375,0.977087
BA(k=4),12,10,32,3,0.884731,0.811389,0.073341,0.327327,0.007568,0.938504
BA(k=4),14,1,40,1,0.840825,0.812391,0.028433,0.09245,0.014375,0.973185
BA(k=4),14,1,40,3,0.929698,0.839162,0.090536,0.327327,0.006348,0.969988
BA(k=4),14,2,40,1,0.81141,0.784202,0.027208,0.09245,0.015,0.971098
BA(k=4),14,2,40,3,0.898292,0.810628,0.087664,0.327327,0.005859,0.967711
BA(k=4),14,3,40,1,0.806631,0.782022,0.024608,0.090655,0.015625,0.972312
BA(k=4),14,3,40,3,0.88898,0.806438,0.082542,0.327327,0.006592,0.968759
BA(k=4),14,4,40,1,0.83703,0.810952,0.026077,0.09245,0.015625,0.972137
BA(k=4),14,4,40,3,0.922881,0.836875,0.086006,0.327327,0.006104,0.968769
BA(k=4),14,5,40,1,0.837276,0.81116,0.026116,0.09245,0.015625,0.972571
BA(k=4),14,5,40,3,0.920489,0.836829,0.083659,0.327327,0.004639,0.969877
BA(k=4),14,6,40,1,0.801958,0.76448,0.037478,0.09245,0.0125,0.972063
BA(k=4),14,6,40,3,0.901342,0.821929,0.079413,0.294508,0.006836,0.913144
BA(k=4),14,7,40,1,0.831935,0.808844,0.023091,0.090655,0.015,0.971392
BA(k=4),14,7,40,3,0.917862,0.833381,0.084481,0.327327,0.00708,0.968376
BA(k=4),14,8,40,1,0.830593,0.808449,0.022144,0.090655,0.014375,0.972867
BA(k=4),14,8,40,3,0.908045,0.831658,0.076387,0.327327,0.007324,0.970064
BA(k=4),14,9,40,1,0.78022,0.756343,0.023877,0.09245,0.015625,0.972342
BA(k=4),14,9,40,3,0.869185,0.78023,0.088955,0.349927,0.006348,0.967861
BA(k=4),14,10,40,1,0.789166,0.760121,0.029044,0.09245,0.01375,0.971058
BA(k=4),14,10,40,3,0.888665,0.787392,0.101273,0.349927,0.006104,0.966357
WS(k=4;b=0.1),12,1,24,1,0.833172,0.804496,0.028676,0.090655,0.01125,0.971545
WS(k=4;b=0.1),12,1,24,3,0.907038,0.851535,0.055503,0.327327,0.00415,0.938691
WS(k=4;b=0.1),12,2,24,1,0.827806,0.80201,0.025795,0.090655,0.011875,0.968385
WS(k=4;b=0.1),12,2,24,3,0.904593,0.848047,0.056546,0.327327,0.004883,0.93351
WS(k=4;b=0.1),12,3,24,1,0.832641,0.804214,0.028427,0.090655,0.0125,0.968018
WS(k=4;b=0.1),12,3,24,3,0.924028,0.854072,0.069955,0.327327,0.006104,0.930173
WS(k=4;b=0.1),12,4,24,1,0.877542,0.84976,0.027782,0.090655,0.01125,0.971771
WS(k=4;b=0.1),12,4,24,3,0.956469,0.897018,0.059451,0.327327,0.005371,0.935725
WS(k=4;b=0.1),12,5,24,1,0.786067,0.760373,0.025693,0.090655,0.013125,0.970833
WS(k=4;b=0.1),12,5,24,3,0.865869,0.804501,0.061368,0.327327,0.005371,0.934139
WS(k=4;b=0.1),12,6,24,1,0.825346,0.800765,0.024581,0.090655,0.01125,0.973622
WS(k=4;b=0.1),12,6,24,3,0.893033,0.842644,0.050389,0.327327,0.004395,0.940058
WS(k=4;b=0.1),12,7,24,1,0.873247,0.847429,0.025817,0.090655,0.01125,0.973696
WS(k=4;b=0.1),12,7,24,3,0.945042,0.891973,0.053069,0.327327,0.004395,0.940448
WS(k=4;b=0.1),12,8,24,1,0.83655,0.806373,0.030178,0.090655,0.0125,0.967864
WS(k=4;b=0.1),12,8,24,3,0.923861,0.857193,0.066668,0.327327,0.006836,0.929534
WS(k=4;b=0.1),12,9,24,1,0.789259,0.76224,0.02702,0.090655,0.0125,0.970722
WS(k=4;b=0.1),12,9,24,3,0.871514,0.807606,0.063908,0.349927,0.005859,0.934664
WS(k=4;b=0.1),12,10,24,1,0.873604,0.847617,0.025987,0.090655,0.01125,0.973776
WS(k=4;b=0.1),12,10,24,3,0.943366,0.892579,0.050788,0.33503,0.003174,0.943398
WS(k=4;b=0.1),14,1,28,1,0.838571,0.80712,0.031451,0.090655,0.013125,0.961211
WS(k=4;b=0.1),14,1,28,3,0.926998,0.837431,0.089567,0.39123,0.006104,0.959
WS(k=4;b=0.1),14,2,28,1,0.800063,0.764969,0.035095,0.09245,0.013125,0.967622
WS(k=4;b=0.1),14,2,28,3,0.898132,0.799496,0.098635,0.440315,0.00708,0.954093
WS(k=4;b=0.1),14,3,28,1,0.86946,0.837263,0.032196,0.09245,0.01125,0.973718
WS(k=4;b=0.1),14,3,28,3,0.935156,0.868035,0.067121,0.397697,0.003174,0.966013
WS(k=4;b=0.1),14,4,28,1,0.793848,0.762553,0.031295,0.09245,0.0125,0.971783
WS(k=4;b=0.1),14,4,28,3,0.88745,0.793373,0.094078,0.410326,0.003906,0.960239
WS(k=4;b=0.1),14,5,28,1,0.835038,0.805496,0.029542,0.090655,0.0125,0.963192
WS(k=4;b=0.1),14,5,28,3,0.918739,0.833763,0.084977,0.39123,0.006104,0.960238
WS(k=4;b=0.1),14,6,28,1,0.831998,0.80404,0.027958,0.090655,0.0125,0.966587
WS(k=4;b=0.1),14,6,28,3,0.90423,0.8302,0.07403,0.39123,0.003906,0.964902
WS(k=4;b=0.1),14,7,28,1,0.828281,0.797522,0.030759,0.09245,0.01125,0.974325
WS(k=4;b=0.1),14,7,28,3,0.90057,0.826993,0.073577,0.39123,0.005127,0.964618
WS(k=4;b=0.1),14,8,28,1,0.762654,0.730461,0.032193,0.09245,0.014375,0.968498
WS(k=4;b=0.1),14,8,28,3,0.854568,0.762139,0.092429,0.410326,0.006104,0.956023
WS(k=4;b=0.1),14,9,28,1,0.831998,0.798903,0.033095,0.09245,0.0125,0.971241
WS(k=4;b=0.1),14,9,28,3,0.914168,0.830886,0.083283,0.39123,0.006348,0.960361
WS(k=4;b=0.1),14,10,28,1,0.804126,0.77224,0.031886,0.09245,0.013125,0.959018
WS(k=4;b=0.1),14,10,28,3,0.900349,0.802813,0.097537,0.410326,0.006104,0.955363
WS(k=4;b=0.5),12,1,24,1,0.845243,0.810053,0.035189,0.09245,0.013125,0.967771
