family,n,inst,p,is_probe,ceiling,regret_normalized,regret_corrected
WS(k=4;b=0.5),12,9,1,0,0.826582,0.032292,0.046609
WS(k=4;b=0.5),12,9,3,0,0.911972,0.026559,0.040233
WS(k=4;b=0.5),12,10,1,0,0.835704,0.058496,0.058496
WS(k=4;b=0.5),12,10,3,0,0.927756,0.015278,0.034168
WS(k=4;b=0.5),14,1,1,1,0.832776,0.039122,0.066862
WS(k=4;b=0.5),14,1,3,1,0.915162,0.02698,0.074161
WS(k=4;b=0.5),14,2,1,0,0.802868,0.057713,0.076888
WS(k=4;b=0.5),14,2,3,0,0.902952,0.086297,0.086297
WS(k=4;b=0.5),14,3,1,0,0.830932,0.044429,0.0701
WS(k=4;b=0.5),14,3,3,0,0.914176,0.034633,0.099139
WS(k=4;b=0.5),14,4,1,0,0.765045,0.054255,0.054255
WS(k=4;b=0.5),14,4,3,0,0.866448,0.115845,0.115845
WS(k=4;b=0.5),14,5,1,0,0.835396,0.056257,0.064618
WS(k=4;b=0.5),14,5,3,0,0.919528,0.024241,0.055342
WS(k=4;b=0.5),14,6,1,0,0.804495,0.075425,0.075425
WS(k=4;b=0.5),14,6,3,0,0.899802,0.051035,0.073775
WS(k=4;b=0.5),14,7,1,0,0.7207,0.05471,0.063018
WS(k=4;b=0.5),14,7,3,0,0.844472,0.055682,0.081321
WS(k=4;b=0.5),14,8,1,0,0.80262,0.070128,0.077525
WS(k=4;b=0.5),14,8,3,0,0.890534,0.032092,0.050229
WS(k=4;b=0.5),14,9,1,0,0.810909,0.070085,0.070085
WS(k=4;b=0.5),14,9,3,0,0.914571,0.035635,0.117996
WS(k=4;b=0.5),14,10,1,0,0.774663,0.084737,0.091805
WS(k=4;b=0.5),14,10,3,0,0.878977,0.069215,0.069215
3-regular,12,1,1,1,0.778747,0.053292,0.064505
3-regular,12,1,3,1,0.923538,0.035531,0.058803
3-regular,12,2,1,0,0.759324,0.034168,0.053066
3-regular,12,2,3,0,0.857677,0.048647,0.064001
3-regular,12,3,1,0,0.768335,0.058119,0.068738
3-regular,12,3,3,0,0.890753,0.094636,0.094636
3-regular,12,4,1,0,0.809946,0.046015,0.079332
3-regular,12,4,3,0,0.902902,0.036473,0.05399
3-regular,12,5,1,0,0.800487,0.051339,0.061545
3-regular,12,5,3,0,0.889274,0.021592,0.053209
3-regular,12,6,1,0,0.809946,0.046015,0.079332
3-regular,12,6,3,0,0.898206,0.033493,0.050341
3-regular,12,7,1,0,0.800487,0.051339,0.061545
3-regular,12,7,3,0,0.884404,0.035141,0.052396
3-regular,12,8,1,0,0.800487,0.051339,0.061545
3-regular,12,8,3,0,0.884404,0.035141,0.052396
3-regular,12,9,1,0,0.791514,0.027433,0.045446
3-regular,12,9,3,0,0.877543,0.050783,0.050783
3-regular,12,10,1,0,0.783211,0.040642,0.059878
3-regular,12,10,3,0,0.874309,0.049978,0.066085
3-regular,14,1,1,1,0.836595,0.045848,0.079897
3-regular,14,1,3,1,0.920341,0.045612,0.064739
3-regular,14,2,1,0,0.75612,0.066741,0.100023
3-regular,14,2,3,0,0.869413,0.058222,0.079092
3-regular,14,3,1,0,0.782108,0.04761,0.057692
3-regular,14,3,3,0,0.880845,0.050646,0.068452
3-regular,14,4,1,0,0.790117,0.043301,0.075458
3-regular,14,4,3,0,0.887711,0.064632,0.088162
3-regular,14,5,1,0,0.828114,0.061086,0.072503
3-regular,14,5,3,0,0.912329,0.055819,0.055819
3-regular,14,6,1,0,0.805164,0.024701,0.062392
3-regular,14,6,3,0,0.880618,0.039745,0.039745
3-regular,14,7,1,0,0.75612,0.066741,0.066741
3-regular,14,7,3,0,0.869364,0.080212,0.105508
3-regular,14,8,1,0,0.790117,0.075458,0.075458
3-regular,14,8,3,0,0.88797,0.070878,0.070878
3-regular,14,9,1,0,0.798126,0.059348,0.070449
3-regular,14,9,3,0,0.898164,0.055526,0.077743
3-regular,14,10,1,0,0.774513,0.032736,0.062097
3-regular,14,10,3,0,0.864645,0.068493,0.068493
