family,n,instance,seed,m,gamma,beta,S,eta_exact,eta_sampled,relerr_eta,median_relerr_lambda
ER(0.5),14,4,20272015,42,0.8,0.6,5,4.991550229630872,4.904078786654856,0.017523903186782975,0.05410042414571626
ER(0.5),14,4,20272015,42,0.8,0.6,10,4.991550229630872,4.902070687434377,0.017926202898916183,0.03928532833986553
ER(0.5),14,4,20272015,42,0.8,0.6,25,4.991550229630872,5.056288079274294,0.012969487767372369,0.020023161117383774
ER(0.5),12,5,20271816,43,0.2,0.15,2,2.1137822388398653,2.2116831090927036,0.046315494781794815,0.2087159581839057
ER(0.5),12,5,20271816,43,0.2,0.15,5,2.1137822388398653,2.118919876270925,0.0024305424355725684,0.07433993107025973
ER(0.5),12,5,20271816,43,0.2,0.15,10,2.1137822388398653,2.080695632566303,0.015652797939924867,0.07052508166767817
ER(0.5),12,5,20271816,43,0.2,0.15,25,2.1137822388398653,2.112752864072479,0.00048698240929083084,0.038692983319116976
ER(0.5),12,5,20271816,43,0.2,0.15,0,2.1137822388398653,2.1137822388398675,1.05046111583802e-15,1.49753163730783e-15
ER(0.5),12,5,20271816,43,0.4,0.3,2,3.6051191032963947,3.632378319800412,0.007561252686240637,0.09946982298484723
ER(0.5),12,5,20271816,43,0.4,0.3,5,3.6051191032963947,3.577521271948227,0.007655178804753841,0.06358607713057018
ER(0.5),12,5,20271816,43,0.4,0.3,10,3.6051191032963947,3.6698517707278726,0.017955763894815176,0.039760409072063636
ER(0.5),12,5,20271816,43,0.4,0.3,25,3.6051191032963947,3.6650956655525886,0.016636499526840428,0.029043983427596794
ER(0.5),12,5,20271816,43,0.4,0.3,0,3.6051191032963947,3.6051191032963956,2.463659019997442e-16,1.0501468918989463e-15
ER(0.5),12,5,20271816,43,0.8,0.6,2,4.593061560742355,4.573293097845659,0.004303983875517882,0.06851510524558917
ER(0.5),12,5,20271816,43,0.8,0.6,5,4.593061560742355,4.602739744488376,0.002107131293153602,0.027210234409639756
