family,n,instance,seed,m,c_opt,ar_uniform,ar_balanced,ar_ceiling_p1,ar_proxy_p1,gamma_p1,beta_p1,ar_ceiling_p3,ar_proxy_p3,g1,gf,b1,bf
ER(0.25),12,27,20281838,21,17.0,0.6176470588235294,0.6737967914438503,0.7745373615475093,0.7461305114856237,0.5638756044904757,0.32221463113741466,0.8979263010979704,0.7985901257063974,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),12,28,20281839,16,13.0,0.6153846153846154,0.6713286713286712,0.8184952224302152,0.7932053586295221,0.8055365778435367,0.32221463113741466,0.9095120429392718,0.8406543452283917,0.4928571428571429,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),12,29,20281840,20,16.0,0.625,0.6818181818181818,0.8069427630130568,0.7756909701685015,0.6444292622748293,0.32221463113741466,0.9022017975919872,0.8203848931282787,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),12,30,20281841,14,13.0,0.5384615384615384,0.5874125874125874,0.7508699068621816,0.7188726391066957,0.8860902356278904,0.32221463113741466,0.848821763321378,0.7783134184726965,0.7142857142857143,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,1,20282012,22,18.0,0.6111111111111112,0.6581196581196581,0.7957785854954411,0.7618410263133603,0.6444292622748293,0.32221463113741466,0.8890052149788955,0.8047858798216743,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,2,20282013,24,20.0,0.6,0.6461538461538462,0.7638638083489783,0.7303132183712919,0.5638756044904757,0.32221463113741466,0.87504640352872,0.7849852612106861,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,3,20282014,23,20.0,0.575,0.6192307692307693,0.7525421791405413,0.7061066663656123,0.5638756044904757,0.32221463113741466,0.87544248068385,0.7678095593918484,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,4,20282015,23,20.0,0.575,0.6192307692307693,0.7633226081124465,0.7228350039312009,0.6444292622748293,0.32221463113741466,0.8716409334939794,0.773117001040695,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,5,20282016,26,20.0,0.65,0.7,0.8101563370657182,0.7779800356783731,0.5638756044904757,0.28193780224523785,0.9143320373505255,0.8157392873954951,0.2714285714285714,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,6,20282017,24,19.0,0.631578947368421,0.680161943319838,0.7982546435558324,0.7646600667357463,0.5638756044904757,0.32221463113741466,0.89398655628628,0.8197845972968992,0.2714285714285714,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,7,20282018,18,15.0,0.6,0.6461538461538461,0.7773433937794283,0.7516157640335145,0.7249829200591831,0.32221463113741466,0.8826676273548789,0.8042190993039704,0.4928571428571429,0.7142857142857143,0.37142857142857144,0.05
ER(0.25),14,8,20282019,24,21.0,0.5714285714285714,0.6153846153846154,0.7320142400143693,0.6971075088004471,0.5638756044904757,0.32221463113741466,0.8421639814824831,0.751433200735559,0.4928571428571429,0.4928571428571429,0.37142857142857144,0.05
ER(0.25),14,9,20282020,18,15.0,0.6,0.6461538461538461,0.8109788995180817,0.7804468904524462,0.8055365778435367,0.32221463113741466,0.9059638540329176,0.8353505293370258,0.2714285714285714,0.9357142857142857,0.4785714285714286,0.05
