family,n,instance,seed,m,c_opt,ceil_p1,variant,mse_rel,ew_avg,ew_star_raw,ew_star_nrm,ar_raw,regret_raw,dgamma_raw,dbeta_raw,ar_nrm,regret_nrm,dgamma_nrm,dbeta_nrm,pred_raw,normw_raw,fit_obj,fit_params
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:nulled:0.05,0.030011169253523783,0.29061166856810117,0.003558590403150769,0.010259504275072086,0.6666666666666666,0.16512618327632855,-0.5638756044904757,1.2888585245496587,0.8074279813552946,0.024364868587700594,0.0,0.0,212.00476104991637,15.147428688828425,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:nulled:0.2,0.10730070257532756,0.7733092195673356,0.01422510395582088,0.040777264767113894,0.6666666666666666,0.16512618327632855,-0.5638756044904757,1.2888585245496587,0.8074279813552946,0.024364868587700594,0.0,0.0,2210.558721892109,157.95179908707297,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:nulled:0.5,0.21888732486285062,0.950931321108903,0.03550448371174099,0.10039236738985327,0.6666666666666666,0.16512618327632855,-0.5638756044904757,1.2888585245496587,0.8175969316929627,0.014195918250032524,-0.08055365778435375,-0.040276828892176875,12528.095193192494,895.189919376479,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:random:0.01,0.009999751582966178,0.7512358115589804,0.8655276333677373,0.8116179482002129,0.6666666666666665,0.16512618327632866,-0.5638756044904757,-0.16110731556870733,0.7290081096862762,0.10278474025671902,0.6444292622748296,0.04027682889217682,1720.9980315379933,122.97372924281811,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:random:0.05,0.049944751611248187,0.9863516126398116,0.9947729145990073,0.9982309227482838,0.6666666666666666,0.16512618327632855,-0.5638756044904757,-0.28193780224523785,0.5090108430976159,0.3227820068453793,-0.8055365778435367,0.6041524333826525,47458.104258148895,3391.1647103951955,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:random:0.2,0.19622668089428097,0.9994395634702238,0.9999103245562967,0.9794945334693853,0.6666666666666666,0.16512618327632855,-0.5638756044904757,-0.28193780224523785,0.43781606732807987,0.3939767826149153,-0.48332194670612205,0.6041524333826525,779018.3945676248,55665.23833543955,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,pert:random:0.5,0.4477405185862301,0.9999768397943714,0.9999900633391975,0.9734996319050873,0.6666666666666666,0.16512618327632855,-0.5638756044904757,-0.28193780224523785,0.43781606732807987,0.3939767826149153,-0.48332194670612205,0.6041524333826525,4.893664874094208e6,349679.4933078927,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,fit:triangle:mse,0.6626903717886381,0.9914398765021032,0.9834857653255675,0.994035897935857,0.5775994199935758,0.2541934299494194,-0.24166097335306103,1.0471975511965976,0.6474161379408242,0.18437671200217098,0.48332194670612205,0.32221463113741466,90299.8412316082,6558.340631751806,0.6626903717886381,1.914;0.675146;0.187913;0.394734
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,fit:triangle:wgt,0.9076760370847569,0.9454325223156838,0.9470781437354185,0.9664103859122746,0.49601092440149797,0.3357819255414972,1.1277512089809512,0.9666438934122439,0.6765745996508598,0.15521825029213543,1.1277512089809512,-0.24166097335306103,124.64693700536851,9.83421854574943,0.9412488575106389,0.05;0.779081;0.23206;0.355854
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,fit:normal:mse,0.5829642768712636,0.9999909172986583,0.9958155452309106,0.9993646522521505,0.6666666666666666,0.16512618327632855,-0.5638756044904757,-0.28193780224523785,0.6666666666666669,0.16512618327632833,-1.3694121823340124,0.4430451178139452,2071.540435408154,151.62966222958246,0.5829642768712636,14.4357;4.33352;5.16639
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,fit:normal:wgt,0.999891675013693,0.9802924773177002,0.9807605115185177,0.9958811243722949,0.6683629003698973,0.16342994957309787,2.0943951023931953,-0.24166097335306103,0.60884547118516,0.2229473787578352,0.48332194670612205,0.4027682889217683,2.41709006489668e7,1.8108108118880955e6,0.9763252410331462,6.13091;147.96;0.0119789
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,paper:empP,0.9999992669173386,0.999999915371171,0.9999997522636745,0.9999998713609306,0.8223607183052347,0.009432131637760466,0.4027682889217683,0.12083048667653051,0.6519458950542548,0.17984695488874036,0.8055365778435366,0.36249146002959154,4.0003468833448756e6,199342.9197819528,NaN,
WS(k=4;b=0.1),14,12,20302115,28,21.0,0.8317928499429952,paper:binP,0.9999992669173386,0.999999915371171,0.9999997522636745,0.9999998713609306,0.8093398642905908,0.02245298565240439,0.4027682889217683,0.16110731556870733,0.6353918484106978,0.19640100153229734,0.24166097335306103,0.32221463113741466,26095.294880358048,1189.1487602678808,NaN,
WS(k=4;b=0.1),14,13,20302116,28,21.0,0.828280839201278,exactN,0.0,0.0,0.0,0.0,0.7975222831304976,0.030758556070780485,0.0,0.0,0.8018028248516896,0.026478014349588408,0.0,0.0,16.35157867561551,0.9736589742546026,NaN,
WS(k=4;b=0.1),14,13,20302116,28,21.0,0.828280839201278,pert:lowd:0.01,0.009999493051520212,0.9776936469315256,0.9912450362381073,0.9166713020993107,0.6666666666666666,0.1616141725346114,-0.5638756044904757,-0.28193780224523785,0.6947065579370143,0.13357428126426374,0.4027682889217683,0.20138414446088415,57781.80263520091,4129.048563736285,NaN,
