family,n,inst,p,ceiling,kind,regret_raw,regret_norm
WS(k=4;b=0.5),12,2,1,0.832221,samp10,0.015152,0.04613
WS(k=4;b=0.5),12,2,1,0.832221,poly,0.141929,0.012871
WS(k=4;b=0.5),12,2,3,0.914179,exact,0.061682,0.020849
WS(k=4;b=0.5),12,2,3,0.914179,samp10,0.065538,0.010008
WS(k=4;b=0.5),12,2,3,0.914179,poly,0.313776,0.020469
WS(k=4;b=0.5),12,3,1,0.764643,exact,0.03398,0.063349
WS(k=4;b=0.5),12,3,1,0.764643,samp10,0.045686,0.006159
WS(k=4;b=0.5),12,3,1,0.764643,poly,0.07432,0.011528
WS(k=4;b=0.5),12,3,3,0.875523,exact,0.089118,0.078579
WS(k=4;b=0.5),12,3,3,0.875523,samp10,0.0925,0.024957
WS(k=4;b=0.5),12,3,3,0.875523,poly,0.144878,0.041196
WS(k=4;b=0.5),12,4,1,0.787335,exact,0.026155,0.056736
WS(k=4;b=0.5),12,4,1,0.787335,samp10,0.016447,0.013956
WS(k=4;b=0.5),12,4,1,0.787335,poly,0.249538,0.020254
WS(k=4;b=0.5),12,4,3,0.875172,exact,0.066132,0.038183
WS(k=4;b=0.5),12,4,3,0.875172,samp10,0.036948,0.011157
WS(k=4;b=0.5),12,4,3,0.875172,poly,0.412671,0.005498
WS(k=4;b=0.5),12,5,1,0.795132,exact,0.02984,0.059059
WS(k=4;b=0.5),12,5,1,0.795132,samp10,0.025119,0.033666
WS(k=4;b=0.5),12,5,1,0.795132,poly,0.036591,0.007487
WS(k=4;b=0.5),12,5,3,0.906733,exact,0.088384,0.076903
WS(k=4;b=0.5),12,5,3,0.906733,samp10,0.088384,0.031049
WS(k=4;b=0.5),12,5,3,0.906733,poly,0.06992,0.034259
3-regular,12,1,1,0.778747,exact,0.048749,0.053292
3-regular,12,1,1,0.778747,samp10,0.037008,0.034845
3-regular,12,1,1,0.778747,poly,0.077455,0.021734
3-regular,12,1,3,0.923538,exact,0.097507,0.035531
3-regular,12,1,3,0.923538,samp10,0.082397,0.033861
3-regular,12,1,3,0.923538,poly,0.134252,0.047818
3-regular,12,2,1,0.759324,exact,0.036765,0.034168
3-regular,12,2,1,0.759324,samp10,0.026384,0.034168
3-regular,12,2,1,0.759324,poly,0.070892,0.004992
3-regular,12,2,3,0.857677,exact,0.08196,0.048647
3-regular,12,2,3,0.857677,samp10,0.08196,0.064001
3-regular,12,2,3,0.857677,poly,0.125103,0.041268
3-regular,12,3,1,0.768335,exact,0.042055,0.058119
3-regular,12,3,1,0.768335,samp10,0.025949,0.009034
3-regular,12,3,1,0.768335,poly,0.053371,0.008531
3-regular,12,3,3,0.890753,exact,0.101681,0.094636
3-regular,12,3,3,0.890753,samp10,0.073616,0.029114
3-regular,12,3,3,0.890753,poly,0.148292,0.072379
3-regular,12,4,1,0.809946,exact,0.039216,0.046015
3-regular,12,4,1,0.809946,samp10,0.028143,0.0199
3-regular,12,4,1,0.809946,poly,0.050916,0.038249
3-regular,12,4,3,0.902902,exact,0.07311,0.036473
3-regular,12,4,3,0.902902,samp10,0.074258,0.022195
3-regular,12,4,3,0.902902,poly,0.04921,0.029184
3-regular,12,5,1,0.800487,exact,0.033724,0.051339
3-regular,12,5,1,0.800487,samp10,0.015071,0.011697
3-regular,12,5,1,0.800487,poly,0.191295,0.016195
3-regular,12,5,3,0.889274,exact,0.067326,0.021592
3-regular,12,5,3,0.889274,samp10,0.057463,0.035765
3-regular,12,5,3,0.889274,poly,0.279735,0.011189
ER(0.5),14,1,1,0.83554,exact,0.035956,0.041126
ER(0.5),14,1,1,0.83554,samp10,0.05107,0.02125
ER(0.5),14,1,1,0.83554,poly,0.118873,0.011594
ER(0.5),14,1,3,0.912856,exact,0.075539,0.042299
ER(0.5),14,1,3,0.912856,samp10,0.060215,0.029426
ER(0.5),14,1,3,0.912856,poly,0.443619,0.012103
ER(0.5),14,2,1,0.833224,exact,0.02059,0.01745
ER(0.5),14,2,1,0.833224,samp10,0.014269,0.01745
ER(0.5),14,2,1,0.833224,poly,0.286306,0.007263
ER(0.5),14,2,3,0.900858,exact,0.059367,0.068354
ER(0.5),14,2,3,0.900858,samp10,0.063438,0.020153
ER(0.5),14,2,3,0.900858,poly,0.241479,0.017223
ER(0.5),14,3,1,0.800478,exact,0.030617,0.038309
ER(0.5),14,3,1,0.800478,samp10,0.018867,0.018929
ER(0.5),14,3,1,0.800478,poly,0.129031,0.014135
ER(0.5),14,3,3,0.883452,exact,0.077871,0.092985
ER(0.5),14,3,3,0.883452,samp10,0.060097,0.028862
ER(0.5),14,3,3,0.883452,poly,0.23424,0.02924
ER(0.5),14,4,1,0.824529,exact,0.027591,0.039903
ER(0.5),14,4,1,0.824529,samp10,0.053567,0.019527
ER(0.5),14,4,1,0.824529,poly,0.191144,0.00168
ER(0.5),14,4,3,0.908402,exact,0.085296,0.060034
