family,n,instance,seed,m,ramp,layer,leakage,cum_leakage,distance,overlap,compressed_norm
ER(0.5),18,9,20272420,71,small,22,0.16335743201357245,1.8029732023199094,0.2833114075510978,0.8757176469915317,0.9044326802750247
ER(0.5),18,9,20272420,71,small,23,0.17653757118738478,1.979510773507294,0.35087440877914394,0.8424163647061211,0.8870360528798841
ER(0.5),18,9,20272420,71,small,24,0.18776381874919415,2.167274592256488,0.410128523206956,0.8098841345430008,0.8669358150852021
ER(0.5),18,9,20272420,71,small,25,0.1976475939694357,2.364922186225924,0.45421118386526754,0.7809800992033604,0.8441049319104432
ER(0.5),18,9,20272420,71,small,26,0.2063956566629813,2.5713178428889054,0.517985899187876,0.7389722757454883,0.8184827236943927
ER(0.5),18,9,20272420,71,small,27,0.21356864250140895,2.7848864853903144,0.6075614410398952,0.6810754390378859,0.7901280933660678
ER(0.5),18,9,20272420,71,small,28,0.21813236064003394,3.0030188460303484,0.700627523700995,0.6221967604865539,0.7594212777950742
ER(0.5),18,9,20272420,71,small,29,0.21868078449547487,3.221699630525823,0.782706357823181,0.5741845783602422,0.7272546951793067
ER(0.5),18,9,20272420,71,small,30,0.21379979464528354,3.435499425171107,0.8541709813161754,0.5366231953358434,0.6951180039892375
ER(0.25),18,9,20282420,42,small,1,0.01679910162624193,0.01679910162624193,0.01679910162624193,0.9997177901845663,0.9998588851355705
ER(0.25),18,9,20282420,42,small,2,0.03896000293590198,0.05575910456214391,0.05037452467897406,0.9978312011843268,0.999099548771684
ER(0.25),18,9,20282420,42,small,3,0.03206553151674008,0.087824636078884,0.07135837824979042,0.9960403736130627,0.9985848537026433
ER(0.25),18,9,20282420,42,small,4,0.010024813385266375,0.09784944946415036,0.07714510283925273,0.9955603916523295,0.9985345327833778
ER(0.25),18,9,20282420,42,small,5,0.027953653019220145,0.1258031024833705,0.0917041211712434,0.9939400805229336,0.9981431793304006
ER(0.25),18,9,20282420,42,small,6,0.04529238503481504,0.17109548751818554,0.1207890944740247,0.9898243865710343,0.9971150416585117
ER(0.25),18,9,20282420,42,small,7,0.044526413783926716,0.21562190130211226,0.1377982247201137,0.9866384557570678,0.9961203766499303
ER(0.25),18,9,20282420,42,small,8,0.02118165443073395,0.2368035557328462,0.13886783171163397,0.9862696289077884,0.995895146234168
ER(0.25),18,9,20282420,42,small,9,0.01858760195238799,0.2553911576852342,0.1410824619568395,0.9857845078566543,0.9957216696177864
ER(0.25),18,9,20282420,42,small,10,0.05007762264519592,0.3054687803304301,0.14620197361050957,0.9837988874145769,0.9944616005943312
ER(0.25),18,9,20282420,42,small,11,0.06510683751859898,0.3705756178490291,0.14279135422616154,0.9821810534912551,0.9923280580357309
ER(0.25),18,9,20282420,42,small,12,0.0599228492349783,0.4304984670840074,0.14152020232882503,0.98056383868082,0.9905171512419778
ER(0.25),18,9,20282420,42,small,13,0.04111880920898084,0.4716172762929883,0.15577259483699232,0.9775965714509393,0.9896633116538975
ER(0.25),18,9,20282420,42,small,14,0.03448279812579231,0.5061000744187806,0.16220872863196992,0.975996190987282,0.9890623878538576
ER(0.25),18,9,20282420,42,small,15,0.05710285396366292,0.5632029283824436,0.14287704215879915,0.9773510253498527,0.9874126144304517
ER(0.25),18,9,20282420,42,small,16,0.08077804188183299,0.6439809702642765,0.12357411292064573,0.9766846301724067,0.984102931143951
