family,n,instance,seed,m,ramp,E_cc,k_match,k90,k99,rank_max
BA(k=2),12,5,20291816,20,moderate,0.9694034686476017,3,2,3,21
BA(k=2),14,5,20292016,24,moderate,0.9498417478583585,2,2,3,21
BA(k=2),12,6,20291817,20,moderate,0.9553713775350238,2,2,3,21
BA(k=2),14,6,20292017,24,moderate,0.9516750849608987,3,2,4,21
BA(k=2),12,7,20291818,20,moderate,0.9782677657715045,2,2,3,21
BA(k=2),14,7,20292018,24,moderate,0.9665557446412196,3,2,3,21
BA(k=2),12,8,20291819,20,moderate,0.9687315126781119,3,2,3,21
BA(k=2),14,8,20292019,24,moderate,0.9652135711010019,2,2,3,21
BA(k=2),12,9,20291820,20,moderate,0.9773875928565433,2,2,3,21
BA(k=2),14,9,20292020,24,moderate,0.9622481715112886,2,2,3,21
BA(k=2),12,10,20291821,20,moderate,0.9609081263217806,3,2,3,21
BA(k=2),14,10,20292021,24,moderate,0.9624648946616065,2,2,3,21
BA(k=2),12,1,20291812,20,large,0.8931810482400816,3,3,7,21
BA(k=2),14,1,20292012,24,large,0.8709709769052525,3,3,8,21
BA(k=2),12,2,20291813,20,large,0.9186030887822005,2,2,6,21
BA(k=2),14,2,20292013,24,large,0.8341508629924231,3,3,9,21
BA(k=2),12,3,20291814,20,large,0.8840877879363566,2,2,8,21
BA(k=2),14,3,20292014,24,large,0.8682116385007573,2,3,8,21
BA(k=2),12,4,20291815,20,large,0.9215170343998241,2,2,7,21
BA(k=2),14,4,20292015,24,large,0.9051656778822694,3,2,9,21
BA(k=2),12,5,20291816,20,large,0.909423078198573,3,3,7,21
BA(k=2),14,5,20292016,24,large,0.8440019942575833,2,3,8,21
BA(k=2),12,6,20291817,20,large,0.9103387848684301,3,3,7,21
BA(k=2),14,6,20292017,24,large,0.8856140412214794,3,3,8,21
BA(k=2),12,7,20291818,20,large,0.8983200312951574,2,2,7,21
BA(k=2),14,7,20292018,24,large,0.8960501517981067,3,3,8,21
BA(k=2),12,8,20291819,20,large,0.8782430362182909,3,3,9,21
BA(k=2),14,8,20292019,24,large,0.8760520903823458,2,3,8,21
BA(k=2),12,9,20291820,20,large,0.909549265621453,3,3,8,21
BA(k=2),14,9,20292020,24,large,0.8710064445144747,2,3,8,21
BA(k=2),12,10,20291821,20,large,0.9124427528538694,3,3,7,21
BA(k=2),14,10,20292021,24,large,0.8905368976387716,3,3,8,21
BA(k=4),12,1,20301812,32,small,0.9790075267828787,2,2,3,21
BA(k=4),14,1,20302012,40,small,0.9783649679749458,2,2,3,21
BA(k=4),12,2,20301813,32,small,0.9806043825456932,2,2,3,21
BA(k=4),14,2,20302013,40,small,0.9765408063849931,2,2,3,21
BA(k=4),12,3,20301814,32,small,0.9826965918877391,2,1,3,21
BA(k=4),14,3,20302014,40,small,0.9772498434937743,2,2,3,21
BA(k=4),12,4,20301815,32,small,0.9802692482934396,2,2,3,21
BA(k=4),14,4,20302015,40,small,0.9792023993923296,2,2,3,21
BA(k=4),12,5,20301816,32,small,0.9764658397135922,2,2,3,21
