family,n,instance,seed,ramp,g1,gf,b1,bf,layer,leakage,cum_leakage,distance,overlap,compressed_norm
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,4,0.004772752293466047,0.04955381666263144,0.04181851947186891,0.9987420156519871,0.999616271441704
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,5,0.010597990453032037,0.06015180711566348,0.04449921351641621,0.9985700968707577,0.9995600896041096
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,6,0.024777589035088397,0.08492939615075189,0.06304319638251758,0.9972660324004062,0.9992529428583046
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,7,0.03413813123730332,0.1190675273880552,0.08769690276641143,0.994825292397136,0.9986696309624166
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,8,0.03192594589732783,0.15099347328538304,0.10198582165408818,0.9929628436220539,0.9981591885992777
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,9,0.019279146198621186,0.1702726194840042,0.10196270415191122,0.992782306937192,0.997972985760145
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,10,0.016232127335997448,0.18650474682000165,0.09664758056264902,0.9931775559446768,0.9978409684660005
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,11,0.03493446835922611,0.22143921517922777,0.1003006373388198,0.9922064955015683,0.9972292521128856
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,12,0.05409448521434147,0.2755337003935692,0.11500027014005201,0.9891652457359411,0.9957609994064935
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,13,0.06834849875563752,0.34388219914920676,0.13212615256819477,0.9847331001356688,0.9934125279343272
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,14,0.07649580300561006,0.4203780021548168,0.1489870630665056,0.9794814640307595,0.9904629436679583
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,15,0.07971791856555088,0.5000959207203677,0.170112878657698,0.9729995129386865,0.9872496625671612
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,16,0.08131784604095255,0.5814137667613203,0.1986995242427741,0.9645243732582963,0.9838949660173251
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,17,0.08545648435627232,0.6668702511175926,0.23246689272124244,0.9538015984273005,0.9801767664231269
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,18,0.09466668776029226,0.7615369388778849,0.26768907601693975,0.9409801301445354,0.9755945426580624
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,19,0.10814340378529022,0.8696803426631751,0.30340800788968697,0.9259306474327365,0.9695822378127213
3-regular,16,3,20332215,small,0.1,0.4,0.4,0.1,20,0.12271925484480894,0.992399597507984,0.34139541324615785,0.9080853773866182,0.9617846434479299
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,1,0.006404396224140866,0.006404396224140866,0.006404396224140866,0.9999589837090002,0.9999794916442064
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,2,0.016187556795259087,0.022591953019399952,0.02075310443765879,0.9996331285399405,0.9998484618751017
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,3,0.01506015965059843,0.037652112669998385,0.031528992505030655,0.9992380475789042,0.9997350340491753
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,4,0.0044377632746566385,0.04208987594465502,0.03415791228817802,0.9991418670270864,0.9997251845194375
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,5,0.010293543022296585,0.0523834189669516,0.0377755723549187,0.99895874690628,0.9996721900375506
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,6,0.021829056813207615,0.07421247578015921,0.05431386437179857,0.9979590099291978,0.9994338296321161
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,7,0.02761102771302971,0.10182350349318893,0.07373235916150052,0.9963346616293257,0.9990523564667414
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,8,0.022961581915980626,0.12478508540916956,0.0826218095849157,0.9953771268175445,0.9987884544375064
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,9,0.010246897635471548,0.13503198304464112,0.08017717452508942,0.9955243103440506,0.998735889916103
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,10,0.015978903473234208,0.15101088651787534,0.07840309668647183,0.9955363959823598,0.9986080574731524
3-regular,12,4,20331816,small,0.1,0.4,0.4,0.1,11,0.03325167963962738,0.18426256615750272,0.09012282028000831,0.9939955976771787,0.9980542962441707
