family,n,inst,m,p,ceiling,regret_norm,regret_raw,argmax_disp,fidelity_deficit,e_star,e_hat,margin
WS(k=4;b=0.5),16,2,32,3,0.890601,0.034065,0.084009,0.174964,0.804227,-0.031315,-0.089609,0.024229
WS(k=4;b=0.5),16,3,32,1,0.787217,0.09063,0.050756,0.195276,0.935574,-0.039388,-0.181847,0.05183
WS(k=4;b=0.5),16,3,32,3,0.885589,0.09314,0.101424,0.371154,0.944187,-0.021503,-0.174573,0.05993
WS(k=4;b=0.5),16,4,32,1,0.805132,0.061802,0.043036,0.154911,0.848289,-0.024643,-0.12443,0.037985
WS(k=4;b=0.5),16,4,32,3,0.901961,0.070096,0.09697,0.294508,0.922038,-0.03476,-0.146101,0.041245
WS(k=4;b=0.5),16,5,32,1,0.817258,0.071291,0.037114,0.172005,0.869615,-0.030848,-0.153379,0.05124
WS(k=4;b=0.5),16,5,32,3,0.914899,0.051026,0.100643,0.267261,0.862761,-0.018801,-0.123194,0.053368
3-regular,16,1,24,1,0.747398,0.065451,0.042225,0.149512,0.835007,-0.034629,-0.134567,0.034487
3-regular,16,1,24,3,0.842812,0.054015,0.098904,0.303046,0.827708,0.003608,-0.101949,0.051541
3-regular,16,2,24,1,0.769089,0.055049,0.048258,0.131995,0.781441,-0.033107,-0.119775,0.031619
3-regular,16,2,24,3,0.870465,0.053907,0.101687,0.257539,0.855806,-0.006553,-0.122665,0.062205
3-regular,16,3,24,1,0.740683,0.049281,0.050397,0.131995,0.804367,-0.033403,-0.122469,0.039785
3-regular,16,3,24,3,0.8634,0.097734,0.122815,0.364216,0.929844,-0.005687,-0.166123,0.062701
3-regular,16,4,24,1,0.755149,0.062551,0.047271,0.149512,0.837403,-0.037973,-0.148944,0.048421
3-regular,16,4,24,3,0.86833,0.103138,0.117723,0.434483,0.95016,-0.01218,-0.180297,0.064978
3-regular,16,5,24,1,0.807543,0.057801,0.050671,0.131995,0.800107,-0.038683,-0.138361,0.041877
3-regular,16,5,24,3,0.912889,0.063529,0.104321,0.257539,0.852792,-0.001837,-0.13817,0.072804
